コード,市場区分,銘柄名,累積採用回数
1332,プライム,ニッスイ,10
1414,プライム,ショーボンドホールディングス,4
1419,プライム,タマホーム,3
1518,プライム,三井松島ホールディングス,3
1605,プライム,ＩＮＰＥＸ,13
1662,プライム,石油資源開発,2
1719,プライム,安藤・間,12
1721,プライム,コムシスホールディングス,13
1801,プライム,大成建設,13
1802,プライム,大林組,11
1808,プライム,長谷工コーポレーション,13
1812,プライム,鹿島建設,13
1878,プライム,大東建託,13
1911,プライム,住友林業,13
1925,プライム,大和ハウス工業,13
1928,プライム,積水ハウス,13
1942,プライム,関電工,5
1951,プライム,エクシオグループ,13
1959,プライム,九電工,10
1969,プライム,高砂熱学工業,2
2124,プライム,ジェイエイシーリクルートメント,3
2127,プライム,日本Ｍ＆Ａセンターホールディングス,10
2154,プライム,オープンアップグループ,1
2168,プライム,パソナグループ,3
2181,プライム,パーソルホールディングス,12
2201,プライム,森永製菓,8
2222,プライム,寿スピリッツ,3
2229,プライム,カルビー,12
2264,プライム,森永乳業,6
2267,プライム,ヤクルト本社,13
2269,プライム,明治ホールディングス,13
2317,プライム,システナ,6
2327,プライム,日鉄ソリューションズ,9
2371,プライム,カカクコム,13
2379,プライム,ディップ,10
2384,プライム,ＳＢＳホールディングス,4
2413,プライム,エムスリー,13
2502,プライム,アサヒグループホールディングス,13
2503,プライム,キリンホールディングス,13
2531,プライム,宝ホールディングス,4
2587,プライム,サントリー食品インターナショナル,9
2670,プライム,エービーシー・マート,13
2678,プライム,アスクル,3
2685,プライム,アダストリア,5
2702,スタンダード,日本マクドナルドホールディングス,9
2726,プライム,パルグループホールディングス,4
2760,プライム,東京エレクトロン　デバイス,2
2767,プライム,円谷フィールズホールディングス,2
2768,プライム,双日,13
2801,プライム,キッコーマン,13
2802,プライム,味の素,13
2811,プライム,カゴメ,4
2871,プライム,ニチレイ,13
2875,プライム,東洋水産,13
2897,プライム,日清食品ホールディングス,13
2914,プライム,日本たばこ産業,13
3003,プライム,ヒューリック,12
3038,プライム,神戸物産,9
3064,プライム,ＭｏｎｏｔａＲＯ,13
3086,プライム,Ｊ．フロント　リテイリング,9
3088,プライム,マツキヨココカラ＆カンパニー,13
3092,プライム,ＺＯＺＯ,13
3107,プライム,ダイワボウホールディングス,7
3116,プライム,トヨタ紡織,12
3132,プライム,マクニカホールディングス,3
3141,プライム,ウエルシアホールディングス,13
3148,プライム,クリエイトＳＤホールディングス,10
3186,プライム,ネクステージ,4
3231,プライム,野村不動産ホールディングス,13
3288,プライム,オープンハウスグループ,9
3289,プライム,東急不動産ホールディングス,13
3291,プライム,飯田グループホールディングス,13
3349,プライム,コスモス薬品,13
3360,プライム,シップヘルスケアホールディングス,13
3382,プライム,セブン＆アイ・ホールディングス,13
3391,プライム,ツルハホールディングス,13
3402,プライム,東レ,13
3405,プライム,クラレ,13
3436,プライム,ＳＵＭＣＯ,8
3465,プライム,ケイアイスター不動産,4
3549,プライム,クスリのアオキホールディングス,10
3563,プライム,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,6
3626,プライム,ＴＩＳ,8
3635,プライム,コーエーテクモホールディングス,6
3659,プライム,ネクソン,11
3697,プライム,ＳＨＩＦＴ,3
3765,プライム,ガンホー・オンライン・エンターテイメント,13
3769,プライム,ＧＭＯペイメントゲートウェイ,7
3774,プライム,インターネットイニシアティブ,6
3861,プライム,王子ホールディングス,13
3923,プライム,ラクス,5
4004,プライム,レゾナック・ホールディングス,7
4021,プライム,日産化学,13
4042,プライム,東ソー,13
4062,プライム,イビデン,4
4063,プライム,信越化学工業,13
4088,プライム,エア・ウォーター,13
4091,プライム,日本酸素ホールディングス,13
4151,プライム,協和キリン,13
4182,プライム,三菱瓦斯化学,10
4183,プライム,三井化学,9
4186,プライム,東京応化工業,3
4188,プライム,三菱ケミカルグループ,13
4194,プライム,ビジョナル,2
4202,プライム,ダイセル,13
4203,プライム,住友ベークライト,3
4204,プライム,積水化学工業,13
4307,プライム,野村総合研究所,13
4385,プライム,メルカリ,1
4401,プライム,ＡＤＥＫＡ,3
4403,プライム,日油,11
4452,プライム,花王,13
4503,プライム,アステラス製薬,13
4507,プライム,塩野義製薬,13
4516,プライム,日本新薬,7
4519,プライム,中外製薬,13
4523,プライム,エーザイ,13
4527,プライム,ロート製薬,9
4528,プライム,小野薬品工業,13
4543,プライム,テルモ,13
4568,プライム,第一三共,13
4578,プライム,大塚ホールディングス,12
4587,プライム,ペプチドリーム,6
4612,プライム,日本ペイントホールディングス,13
4613,プライム,関西ペイント,13
4626,プライム,太陽ホールディングス,3
4661,プライム,オリエンタルランド,11
4666,プライム,パーク２４,9
4680,プライム,ラウンドワン,2
4681,プライム,リゾートトラスト,8
4684,プライム,オービック,13
4686,プライム,ジャストシステム,6
4689,プライム,ＬＩＮＥヤフー,13
4704,プライム,トレンドマイクロ,13
4716,スタンダード,日本オラクル,13
4722,プライム,フューチャー,2
4732,プライム,ユー・エス・エス,13
4768,プライム,大塚商会,13
4812,プライム,電通総研,5
4816,スタンダード,東映アニメーション,6
4901,プライム,富士フイルムホールディングス,9
4912,プライム,ライオン,9
4967,プライム,小林製薬,13
4980,プライム,デクセリアルズ,4
5019,プライム,出光興産,10
5020,プライム,ＥＮＥＯＳホールディングス,10
5021,プライム,コスモエネルギーホールディングス,8
5032,プライム,ＡＮＹＣＯＬＯＲ,1
5076,プライム,インフロニア・ホールディングス,5
5101,プライム,横浜ゴム,13
5105,プライム,ＴＯＹＯ　ＴＩＲＥ,11
5108,プライム,ブリヂストン,13
5332,プライム,ＴＯＴＯ,13
5333,プライム,日本碍子,11
5334,プライム,日本特殊陶業,13
5344,プライム,ＭＡＲＵＷＡ,4
5393,プライム,ニチアス,10
5401,プライム,日本製鉄,12
5406,プライム,神戸製鋼所,4
5411,プライム,ＪＦＥホールディングス,12
5423,プライム,東京製鐵,6
5444,プライム,大和工業,2
5471,プライム,大同特殊鋼,4
5480,プライム,日本冶金工業,3
5706,プライム,三井金属鉱業,8
5713,プライム,住友金属鉱山,13
5714,プライム,ＤＯＷＡホールディングス,11
5802,プライム,住友電気工業,13
5803,プライム,フジクラ,2
5805,プライム,ＳＷＣＣ,1
5857,プライム,ＡＲＥホールディングス,9
5929,プライム,三和ホールディングス,11
5947,プライム,リンナイ,13
5991,プライム,日本発條,8
6005,プライム,三浦工業,6
6028,プライム,テクノプロ・ホールディングス,8
6098,プライム,リクルートホールディングス,8
6101,プライム,ツガミ,2
6113,プライム,アマダ,9
6141,プライム,ＤＭＧ森精機,10
6146,プライム,ディスコ,13
6201,プライム,豊田自動織機,13
6254,プライム,野村マイクロ・サイエンス,2
6269,プライム,三井海洋開発,3
6273,プライム,ＳＭＣ,13
6301,プライム,小松製作所,13
6305,プライム,日立建機,13
6323,プライム,ローツェ,4
6326,プライム,クボタ,13
6361,プライム,荏原製作所,11
6367,プライム,ダイキン工業,13
6368,プライム,オルガノ,3
6383,プライム,ダイフク,10
6417,プライム,ＳＡＮＫＹＯ,5
6432,プライム,竹内製作所,10
6436,プライム,アマノ,1
6448,プライム,ブラザー工業,13
6460,プライム,セガサミーホールディングス,6
6465,プライム,ホシザキ,12
6479,プライム,ミネベアミツミ,12
6501,プライム,日立製作所,13
6503,プライム,三菱電機,13
6504,プライム,富士電機,13
6506,プライム,安川電機,13
6532,プライム,ベイカレント,6
6544,プライム,ジャパンエレベーターサービスホールディングス,5
6586,プライム,マキタ,13
6590,プライム,芝浦メカトロニクス,1
6632,プライム,ＪＶＣケンウッド,2
6645,プライム,オムロン,13
6670,スタンダード,ＭＣＪ,6
6701,プライム,日本電気,11
6702,プライム,富士通,13
6707,プライム,サンケン電気,1
6723,プライム,ルネサスエレクトロニクス,10
6724,プライム,セイコーエプソン,12
6728,プライム,アルバック,9
6752,プライム,パナソニック　ホールディングス,12
6758,プライム,ソニーグループ,10
6762,プライム,ＴＤＫ,13
6787,プライム,メイコー,2
6806,プライム,ヒロセ電機,10
6841,プライム,横河電機,12
6845,プライム,アズビル,8
6849,プライム,日本光電工業,13
6856,プライム,堀場製作所,13
6857,プライム,アドバンテスト,9
6861,プライム,キーエンス,13
6869,プライム,シスメックス,13
6902,プライム,デンソー,13
6920,プライム,レーザーテック,7
6951,プライム,日本電子,3
6954,プライム,ファナック,13
6965,プライム,浜松ホトニクス,13
6966,プライム,三井ハイテック,3
6981,プライム,村田製作所,13
6988,プライム,日東電工,13
7003,プライム,三井Ｅ＆Ｓ,3
7004,プライム,カナデビア,2
7011,プライム,三菱重工業,13
7012,プライム,川崎重工業,8
7013,プライム,ＩＨＩ,10
7014,スタンダード,名村造船所,4
7105,スタンダード,三菱ロジスネクスト,2
7148,プライム,ＦＰＧ,8
7164,プライム,全国保証,10
7167,プライム,めぶきフィナンシャルグループ,9
7186,プライム,コンコルディア・フィナンシャルグループ,11
7202,プライム,いすゞ自動車,13
7203,プライム,トヨタ自動車,13
7211,プライム,三菱自動車工業,5
7259,プライム,アイシン,13
7261,プライム,マツダ,10
7267,プライム,本田技研工業,13
7269,プライム,スズキ,13
7270,プライム,ＳＵＢＡＲＵ,13
7272,プライム,ヤマハ発動機,13
7276,プライム,小糸製作所,13
7282,プライム,豊田合成,13
7309,プライム,シマノ,13
7419,プライム,ノジマ,10
7453,プライム,良品計画,13
7459,プライム,メディパルホールディングス,12
7532,プライム,パン・パシフィック・インターナショナルホールディングス,13
7550,プライム,ゼンショーホールディングス,9
7564,スタンダード,ワークマン,7
7599,プライム,ＩＤＯＭ,4
7649,プライム,スギホールディングス,13
7701,プライム,島津製作所,10
7716,スタンダード,ナカニシ,3
7729,プライム,東京精密,8
7733,プライム,オリンパス,11
7735,プライム,ＳＣＲＥＥＮホールディングス,10
7740,プライム,タムロン,1
