項目名,出現回数,コンテキストID,連結・個別,期間・時点,単位
純資産,285564,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
当期変動額合計,131210,Prior1YearDuration_NonConsolidatedMember_CapitalStockMember,個別,期間,円
資本（IFRS）,106165,Prior1YearInstant,その他,時点,円
株式数、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,89673,CurrentYearInstant_Row1Member,その他,時点,
貸借対照表計上額、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,89667,CurrentYearInstant_Row1Member,その他,時点,円
営業利益又は営業損失（△）,88899,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
売上高,87331,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
株式数（株）、発行済株式、議決権の状況,79069,CurrentQuarterInstant_SharesWithNoVotingRightsMember,その他,時点,
外部顧客への売上高,78204,Prior1YTDDuration_jpcrp040300-q2r_E03137-000Japan001ReportableSegmentsMember,その他,期間,円
セグメント間の内部売上高又は振替高,78010,Prior1YTDDuration_jpcrp040300-q2r_E03137-000Japan001ReportableSegmentsMember,その他,期間,円
発行済株式（自己株式を除く。）の総数に対する所有株式数の割合,71254,CurrentQuarterInstant_No1MajorShareholdersMember,その他,時点,
所有株式数,71253,CurrentQuarterInstant_No1MajorShareholdersMember,その他,時点,
当期純利益又は当期純損失（△）（平成26年3月28日財規等改正後）,67811,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
内容、発行済株式、議決権の状況,67144,CurrentQuarterInstant_SharesWithNoVotingRightsMember,その他,時点,－
氏名又は名称、大株主の状況,64781,CurrentQuarterInstant_No1MajorShareholdersMember,その他,時点,－
住所、大株主の状況,64781,CurrentQuarterInstant_No1MajorShareholdersMember,その他,時点,－
当期包括利益（IFRS）,61684,Prior1YTDDuration,その他,期間,円
当期利益（△損失）（IFRS）,61243,Prior1YTDDuration,その他,期間,円
従業員数,58410,Prior4YearInstant_NonConsolidatedMember,その他,時点,
株主資本以外の項目の当期変動額（純額）,55318,Prior1YearDuration_NonConsolidatedMember_ShareholdersEquityMember,個別,期間,円
１株当たり当期純利益又は当期純損失（△）、経営指標等,52102,Prior1YTDDuration_NonConsolidatedMember,その他,期間,
その他の包括利益（IFRS）,49100,Prior1YTDDuration,その他,期間,円
所有者との取引額（IFRS）,45656,Prior1YTDDuration_ShareCapitalIFRSMember,その他,期間,円
総資産額、経営指標等,45637,Prior1QuarterInstant_NonConsolidatedMember,その他,時点,円
純資産額、経営指標等,45636,Prior1QuarterInstant_NonConsolidatedMember,その他,時点,円
自己資本比率、経営指標等,45614,Prior1QuarterInstant_NonConsolidatedMember,その他,時点,
経常利益又は経常損失（△）、経営指標等,45559,Prior1YTDDuration_NonConsolidatedMember,その他,期間,円
銘柄、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,45255,CurrentYearInstant_Row1Member,その他,時点,－
当該株式の発行者による提出会社の株式の保有の有無、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,45156,CurrentYearInstant_Row1Member,その他,時点,－
潜在株式調整後１株当たり当期純利益、経営指標等,44396,Prior1YTDDuration_NonConsolidatedMember,その他,期間,
資産,43697,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
平均臨時雇用人員,41741,Prior4YearInstant_NonConsolidatedMember,その他,時点,
所有株式数（普通株式）、役員の状況（取締役（及び監査役））,40034,FilingDateInstant_jpcrp030000-asr_E35821-000KenichiYonetsuMember,その他,時点,
売上高、経営指標等,37109,Prior1YTDDuration_NonConsolidatedMember,その他,期間,円
任期、役員の状況（取締役（及び監査役））,36825,FilingDateInstant_jpcrp030000-asr_E35821-000KenichiYonetsuMember,その他,時点,－
略歴、役員の状況（取締役（及び監査役）） [テキストブロック],36825,FilingDateInstant_jpcrp030000-asr_E35821-000KenichiYonetsuMember,その他,時点,－
氏名、役員の状況（取締役（及び監査役））,36824,FilingDateInstant_jpcrp030000-asr_E35821-000KenichiYonetsuMember,その他,時点,－
生年月日、役員の状況（取締役（及び監査役））,36822,FilingDateInstant_jpcrp030000-asr_E35821-000KenichiYonetsuMember,その他,時点,－
役職名、役員の状況（取締役（及び監査役））,36777,FilingDateInstant_jpcrp030000-asr_E35821-000KenichiYonetsuMember,その他,時点,－
剰余金の配当,35576,Prior1YearDuration_RetainedEarningsMember,連結,期間,円
自己株式の取得,35396,Prior1YearDuration_NonConsolidatedMember_ShareholdersEquityMember,個別,期間,円
配当金、持分変動計算書（IFRS）,34340,Prior1YTDDuration_RetainedEarningsIFRSMember,その他,期間,円
議決権の数（個）、発行済株式、議決権の状況,33305,CurrentQuarterInstant_SharesWithRestrictedVotingRightsOtherMember,その他,時点,
自己株式の処分,33127,Prior1YearDuration_TreasuryStockMember,連結,期間,円
税引前当期純利益又は税引前当期純損失（△）,33090,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
経常利益又は経常損失（△）,32331,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
営業利益（△損失）（IFRS）,31493,Prior1YTDDuration,その他,期間,円
売上収益（IFRS）,30752,Prior1YTDDuration,その他,期間,円
親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,30695,Prior1YTDDuration,連結,期間,円
自己株式の取得、持分変動計算書（IFRS）,30312,Prior1YTDDuration_TreasurySharesIFRSMember,その他,期間,円
１株当たり純資産額、経営指標等,28120,Prior4YearInstant_NonConsolidatedMember,その他,時点,
自己資本利益率、経営指標等,27615,Prior4YearDuration_NonConsolidatedMember,その他,期間,
株価収益率、経営指標等,27611,Prior4YearDuration_NonConsolidatedMember,その他,期間,
親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）、経営指標等,26805,Prior1YTDDuration,その他,期間,円
包括利益、経営指標等,26772,Prior1YTDDuration,その他,期間,円
所有株式数の合計（株）、自己株式等,26189,CurrentQuarterInstant_Row1Member,その他,時点,
発行済株式総数に対する所有株式数の割合（％）、自己株式等,26189,CurrentQuarterInstant_Row1Member,その他,時点,
他人名義所有株式数（株）、自己株式等,26171,CurrentQuarterInstant_Row1Member,その他,時点,
外部顧客への売上収益（IFRS）,26103,Prior1YTDDuration_jpcrp040300-q1r_E05000-000CommerceReportableSegmentMember,その他,期間,円
自己名義所有株式数（株）、自己株式等,26091,CurrentQuarterInstant_Row1Member,その他,時点,
株式報酬取引、持分変動計算書（IFRS）,25903,Prior1YearDuration_CapitalSurplusIFRSMember,その他,期間,円
セグメント間の売上収益（IFRS）,24771,Prior1YTDDuration_jpcrp040300-q1r_E05000-000CommerceReportableSegmentMember,その他,期間,円
負債,24153,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
減損損失、特別損失,24085,Prior1YTDDuration,連結,期間,円
自己株式の処分、持分変動計算書（IFRS）,23976,CurrentYearDuration_CapitalSurplusIFRSMember,その他,期間,円
減価償却費、セグメント情報,23627,Prior1YearDuration_jpcrp030000-asr_E01589-000VacuumEquipmentBusinessReportableSegmentsMember,その他,期間,円
継続事業からの税引前利益（△損失）（IFRS）,23101,Prior1YTDDuration,その他,期間,円
負債純資産,22681,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
利益剰余金,22681,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
株主資本,22681,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
資本金,22681,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
現金及び現金同等物の残高、経営指標等,22657,Prior1QuarterInstant_NonConsolidatedMember,その他,時点,円
投資活動によるキャッシュ・フロー、経営指標等,22648,Prior1YTDDuration_NonConsolidatedMember,その他,期間,円
営業活動によるキャッシュ・フロー、経営指標等,22648,Prior1YTDDuration_NonConsolidatedMember,その他,期間,円
財務活動によるキャッシュ・フロー、経営指標等,22636,Prior1YTDDuration_NonConsolidatedMember,その他,期間,円
資本剰余金,22507,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
固定資産,22386,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
事業年度末現在発行数（株）、発行済株式、株式の総数等,22308,FilingDateInstant_OrdinaryShareMember,その他,時点,
提出日現在発行数（株）、発行済株式、株式の総数等,22305,FilingDateInstant_OrdinaryShareMember,その他,時点,
法人税等,22242,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
その他の資本の構成要素から利益剰余金への振替、持分変動計算書（IFRS）,22105,Prior1YTDDuration_ShareCapitalIFRSMember,その他,期間,円
有形固定資産,21979,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
支払利息、営業外費用,21923,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
流動資産,21913,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
流動負債,21913,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
現金及び預金,21903,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
投資その他の資産,21872,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他、流動資産,21721,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
営業外収益,21598,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
営業外費用,21542,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
無形固定資産,21411,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
固定負債,21368,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
自己株式,21361,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
その他、流動負債,20894,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
のれん償却額、販売費及び一般管理費,20893,Prior1YearDuration,連結,期間,円
現金及び現金同等物の残高,20740,Prior2YearInstant_NonConsolidatedMember,個別,時点,円
未払法人税等,20709,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
保有目的、定量的な保有効果及び株式数が増加した理由、保有目的が純投資目的以外の目的である特定投資株式の明細、提出会社,20671,CurrentYearInstant_Row1Member,その他,時点,－
有形固定資産及び無形固定資産の増加額,20643,Prior1YearDuration_jpcrp030000-asr_E01589-000VacuumEquipmentBusinessReportableSegmentsMember,その他,期間,円
販売費及び一般管理費,20162,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
特別損失,19858,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
受取利息、営業外収益,19759,Prior1YTDDuration,連結,期間,円
会計方針の変更を反映した当期首残高,19604,Prior2YearInstant_CapitalStockMember,連結,時点,円
脚注（取締役（及び監査役） [テキストブロック],19124,FilingDateInstant_Row1Member,その他,時点,－
評価・換算差額等,18913,Prior1YearInstant_NonConsolidatedMember,個別,時点,円
１株当たり配当額、経営指標等,18882,Prior1YTDDuration_NonConsolidatedMember,その他,期間,
その他、投資その他の資産,18861,Prior1YearInstant,連結,時点,円
当期純利益又は当期純損失（△）、経営指標等,18848,Prior1YTDDuration_NonConsolidatedMember,その他,期間,円
資本金、経営指標等,18840,Prior1QuarterInstant_NonConsolidatedMember,その他,時点,円
発行済株式総数（普通株式）、経営指標等,18835,Prior1QuarterInstant_NonConsolidatedMember,その他,時点,
その他、営業外収益,18639,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
売上総利益又は売上総損失（△）,18345,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
特別利益,18196,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
法人税、住民税及び事業税,18071,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
売上原価,18058,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
その他、営業外費用,17707,Prior1YTDDuration_NonConsolidatedMember,個別,期間,円
貸借対照表計上額、保有目的が純投資目的以外の目的である特定投資株式の明細、最大保有会社,17474,CurrentYearInstant_Row1Member,その他,時点,円
株式数、保有目的が純投資目的以外の目的である特定投資株式の明細、最大保有会社,17474,CurrentYearInstant_Row1Member,その他,時点,
