DocID,NetSales,OperatingIncome,TotalAssets,NetAssets,EquityToAssetRatio,NumberOfIssuedShares,NetIncome
S100JF5C,238634000000,36164000000,2586450000000,725276000000,0.280,0.012,
S100JLIK,2463280000,71458000,10975995000,9433461000,0.859,7744900,134287000
S100JRD2,264393000000,14355000000,411037000000,365536000000,0.889,0.0044,9613000000
S100JRLF,1533419000,310039000,1212114000,639231000,0.527,800,137558000
S100JRLO,"(1) 売上高（単位：千円）米国合計115,550115,550",-533077000,967273000,929138000,0.933,5025600,-414989000
S100JRQB,192437000000,23828000000,219561000000,78032000000,0.332,49355938,16698000000
S100JRQU,208805000000,12623000000,381135000000,227524000000,0.556,0.0180,8727000000
S100JRSP,256715000,-225942000,7170288000,6822731000,0.947,0.0004,-229937000
S100JRSR,4516950000,-2830671000,7380958000,4510056000,0.568,11068152,-2778440000
S100JRT9,15291790000,7941298000,25870073000,21808296000,0.842,23571600,3227958000
S100JRVP,97891000000,1479000000,165787000000,48922000000,0.293,0.0764,910000000
S100JRWG,759592000000,63110000000,560568000000,244547000000,0.413,158118000,24938000000
S100JS1F,39511190000,15168593000,50286556000,32263674000,0.641,64148800,6907342000
S100JS36,72209000000,3383000000,140656000000,56713000000,0.403,0.0000,2531000000
S100JS6H,90323000000,13739000000,63634000000,23963000000,0.377,34214000,9057000000
S100JSFA,443967000000,94222000000,1777072000000,1386611000000,0.7802,0.0953,62018000000
S100JSI6,9841600000,1594825000,3286003000,747962000,0.227,3065000,109474000
S100JSOI,4458411000,163998000,5820407000,3432074000,0.583,20756900,-1582050000
S100JSTD,30143000000,5719000000,11893000000,5322000000,0.446,19353000,1523000000
S100JSTF,113324000000,-4235000000,275737000000,75895000000,0.274,0.0032,-5736000000
S100JSY9,－,-101093000,－,－,－,2046761,－
S100JTBC,161118000000,4901000000,74800000000,27029000000,0.361,0.0251,3430000000
S100JTL9,321598000000,55577000000,641867000000,531132000000,0.827,0.0120,36847000000
S100JUHS,14908000000,2484000000,24746000000,13583000000,0.549,15541141,1536000000
S100JUVA,76500000000,3495000000,133779000000,78208000000,0.585,0.054,2436000000
S100JUZK,427456000000,18388000000,372241000000,153791000000,0.411,0.0003,11858000000
S100JV4W,45742345000,11618021000,157181063000,58306499000,0.365,0.0267,
S100JVH7,62461000000,7847000000,107532000000,79661000000,0.741,0.0256,5483000000
S100JVI9,98688000000,33539000000,485667000000,380231000000,0.758,0.0456,22885000000
S100JVLC,164500000000,7023000000,273737000000,130256000000,0.476,0.0100,5049000000
S100JVV2,263701000000,14776000000,301504000000,174972000000,0.580,0.0239,10461000000
S100JVX6,3747953000000,86326000000,10900943000000,1834115000000,0.097,0.0251,3791000000
S100JVXG,22825190000,7230922000,35135149000,27615239000,0.760,62000000,4928192000
S100JVXK,342670000000,5563000000,256687000000,78327000000,0.305,0.1215,3833000000
S100JVYI,7062060000,-34136000,12077015000,2400943000,0.189,0.0209,-88470000
S100JVZQ,45234000000,2119000000,92846000000,17605000000,0.189,－,1355000000
S100JW01,47505000000,14249000000,253230000000,152855000000,0.603,128139000,9817000000
S100JW85,211780000000,14494000000,435479000000,227203000000,0.522,0.0155,
S100JWLY,108981000000,7164000000,96615000000,56056000000,0.580,0.0235,4410000000
S100JWQM,225664000000,25175000000,1267853000000,407573000000,0.321,0.0243,
S100JWT0,4156617000,-330963000,5607010000,2973436000,0.530,0.0105,-354790000
S100JWT6,66958000000,5524000000,98030000000,43209000000,0.441,0.0507,3468000000
S100JWTP,79626000000,1243000000,119260000000,44807000000,0.283,0.0430,46000000
S100JWUG,17587917000,4414686000,50926878000,25721196000,0.443,0.0203,2932445000
S100JX0B,7749280000,490452000,6043139000,2392375000,0.396,0.0214,368497000
S100JX3T,2656629000000,205127000000,5959406000000,2666454000000,0.422,0.0021,110647000000
S100JX41,140158000000,25324000000,305783000000,265453000000,0.865,0.0000,17331000000
S100JX4P,1652086000,215823000,1271640000,1042068000,0.819,1750700,148905000
S100JX97,179276000000,4624000000,174017000000,40993000000,0.233,0.0606,2124000000
S100JXAE,417630000000,13424000000,1176783000000,460821000000,0.377,0.0620,12404000000
