No.,コード,銘柄名
1,1431,Ｌｉｂ　Ｗｏｒｋ
2,1436,グリーンエナジー＆カンパニー
3,1447,ＳＡＡＦホールディングス
4,2158,ＦＲＯＮＴＥＯ
5,2160,ジーエヌアイグループ
6,2173,博展
7,2195,アミタホールディングス
8,2370,メディネット
9,2438,アスカネット
10,2497,ユナイテッド
11,2934,ジェイフロンティア
12,2936,ベースフード
13,2937,サンクゼール
14,2978,ツクルバ
15,2986,ＬＡホールディングス
16,2998,クリアル
17,3063,ジェイグループホールディングス
18,3133,海帆
19,3140,ＢＲＵＮＯ
20,3187,ミラタップ
21,3300,アンビション　ＤＸ　ホールディングス
22,3418,バルニバービ
23,3479,ティーケーピー
24,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ
25,3496,アズーム
26,3542,ベガコーポレーション
27,3558,ジェイドグループ
28,3623,ビリングシステム
29,3653,モルフォ
30,3692,ＦＦＲＩセキュリティ
31,3723,日本ファルコム
32,3773,アドバンスト・メディア
33,3777,環境フレンドリーホールディングス
34,3793,ドリコム
35,3900,クラウドワークス
36,3904,カヤック
37,3905,データセクション
38,3911,Ａｉｍｉｎｇ
39,3914,ＪＩＧ－ＳＡＷ
40,3979,うるる
41,3989,シェアリングテクノロジー
42,3990,ＵＵＵＭ
43,3991,ウォンテッドリー
44,4011,ヘッドウォータース
45,4013,勤次郎
46,4015,ペイクラウドホールディングス
47,4051,ＧＭＯフィナンシャルゲート
48,4054,日本情報クリエイト
49,4055,ティアンドエスグループ
50,4056,ニューラルグループ
51,4058,トヨクモ
52,4074,ラキール
53,4165,プレイド
54,4168,ヤプリ
55,4169,ＥＮＥＣＨＡＮＧＥ
56,4175,ｃｏｌｙ
57,4176,ココナラ
58,4192,スパイダープラス
59,4258,網屋
60,4259,エクサウィザーズ
61,4263,サスメド
62,4264,セキュア
63,4270,ＢｅｅＸ
64,4308,Ｊストリーム
65,4371,コアコンセプト・テクノロジー
66,4374,ＲＯＢＯＴ　ＰＡＹＭＥＮＴ
67,4375,セーフィー
68,4376,くふうカンパニー
69,4377,ワンキャリア
70,4389,プロパティデータバンク
71,4393,バンク・オブ・イノベーション
72,4413,ボードルア
73,4414,フレクト
74,4417,グローバルセキュリティエキスパート
75,4418,ＪＤＳＣ
76,4419,Ｆｉｎａｔｅｘｔホールディングス
