Code,データ有無,データ開始日,データ終了日,レコード数,営業日カバレッジ (%),欠損項目
6920,有り,2018-05-30,2025-09-26,1796,93.88,無し
9984,有り,2018-05-30,2025-09-26,1796,93.88,無し
8035,有り,2018-05-30,2025-09-26,1796,93.88,無し
7203,有り,2018-05-30,2025-09-26,1796,93.88,無し
8306,有り,2018-05-30,2025-09-26,1796,93.88,無し
9983,有り,2018-05-30,2025-09-26,1796,93.88,無し
6146,有り,2018-05-30,2025-09-26,1796,93.88,無し
6526,有り,2023-03-20,2025-09-26,619,93.79,無し
7974,有り,2018-05-30,2025-09-26,1796,93.88,無し
6758,有り,2018-05-30,2025-09-26,1796,93.88,無し
6857,有り,2018-05-30,2025-09-26,1796,93.88,無し
7011,有り,2018-05-30,2025-09-26,1796,93.88,無し
8316,有り,2018-05-30,2025-09-26,1796,93.88,無し
6861,有り,2018-05-30,2025-09-26,1796,93.88,無し
6098,有り,2018-05-30,2025-09-26,1796,93.88,無し
6501,有り,2018-05-30,2025-09-26,1796,93.88,無し
4063,有り,2018-05-30,2025-09-26,1796,93.88,無し
9101,有り,2018-05-30,2025-09-26,1796,93.88,無し
8058,有り,2018-05-30,2025-09-26,1796,93.88,無し
9107,有り,2018-05-30,2025-09-26,1796,93.88,無し
8411,有り,2018-05-30,2025-09-26,1796,93.88,無し
5803,有り,2018-05-30,2025-09-26,1796,93.88,無し
9432,有り,2018-05-30,2025-09-26,1796,93.88,無し
6981,有り,2018-05-30,2025-09-26,1796,93.88,無し
4502,有り,2018-05-30,2025-09-26,1796,93.88,無し
7012,有り,2018-05-30,2025-09-26,1796,93.88,無し
7013,有り,2018-05-30,2025-09-26,1796,93.88,無し
6594,有り,2018-05-30,2025-09-26,1796,93.88,無し
6723,有り,2018-05-30,2025-09-26,1796,93.88,無し
7267,有り,2018-05-30,2025-09-26,1796,93.88,無し
6367,有り,2018-05-30,2025-09-26,1796,93.88,無し
9433,有り,2018-05-30,2025-09-26,1796,93.88,無し
6954,有り,2018-05-30,2025-09-26,1796,93.88,無し
9104,有り,2018-05-30,2025-09-26,1796,93.88,無し
9501,有り,2018-05-30,2025-09-26,1796,93.88,無し
4568,有り,2018-05-30,2025-09-26,1796,93.88,無し
8766,有り,2018-05-30,2025-09-26,1796,93.88,無し
8031,有り,2018-05-30,2025-09-26,1796,93.88,無し
4661,有り,2018-05-30,2025-09-26,1796,93.88,無し
7741,有り,2018-05-30,2025-09-26,1796,93.88,無し
5401,有り,2018-05-30,2025-09-26,1796,93.88,無し
8001,有り,2018-05-30,2025-09-26,1796,93.88,無し
6273,有り,2018-05-30,2025-09-26,1796,93.88,無し
2914,有り,2018-05-30,2025-09-26,1796,93.88,無し
4911,有り,2018-05-30,2025-09-26,1796,93.88,無し
9434,有り,2019-06-04,2025-09-26,1544,93.63,無し
4755,有り,2018-05-30,2025-09-26,1796,93.88,無し
3382,有り,2018-05-30,2025-09-26,1796,93.88,無し
7201,有り,2018-05-30,2025-09-26,1796,93.88,無し
6902,有り,2018-05-30,2025-09-26,1796,93.88,無し
4385,有り,2018-11-15,2025-09-26,1675,93.47,無し
6702,有り,2018-05-30,2025-09-26,1796,93.88,無し
7751,有り,2018-05-30,2025-09-26,1796,93.88,無し
3436,有り,2018-05-30,2025-09-26,1796,93.88,無し
5253,有り,2023-08-30,2025-09-26,508,93.55,無し
6762,有り,2018-05-30,2025-09-26,1796,93.88,無し
7735,有り,2018-05-30,2025-09-26,1796,93.88,無し
8136,有り,2018-05-30,2025-09-26,1796,93.88,無し
6301,有り,2018-05-30,2025-09-26,1796,93.88,無し
2413,有り,2018-05-30,2025-09-26,1796,93.88,無し
1605,有り,2018-05-30,2025-09-26,1796,93.88,無し
4901,有り,2018-05-30,2025-09-26,1796,93.88,無し
