name,Code,データ有無,データ開始日,データ終了日,レコード数,営業日カバレッジ (%),欠損項目
ニッスイ,1332,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,有り,2024-07-30,2025-09-26,284,93.42,無し
ショーボンドホールディングス,1414,有り,2018-05-30,2025-09-26,1796,93.88,無し
タマホーム,1419,有り,2018-05-30,2025-09-26,1796,93.88,無し
トライアルホールディングス,141A,有り,2024-08-26,2025-09-26,266,93.33,無し
Ｌｉｂ　Ｗｏｒｋ,1431,有り,2019-11-25,2025-09-26,1427,93.57,無し
グリーンエナジー＆カンパニー,1436,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＡＡＦホールディングス,1447,有り,2019-03-06,2025-09-26,1601,93.46,無し
ソラコム,147A,有り,2024-08-29,2025-09-26,263,93.26,無し
三井松島ホールディングス,1518,有り,2018-05-30,2025-09-26,1796,93.88,無し
ダイブ,151A,有り,2024-08-30,2025-09-26,262,93.24,無し
カウリス,153A,有り,2024-09-02,2025-09-26,261,93.21,無し
マテリアルグループ,156A,有り,2024-09-03,2025-09-26,260,93.19,無し
ＩＮＰＥＸ,1605,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＢＩレオスひふみ,165A,有り,2023-09-29,2025-09-26,483,92.71,無し
石油資源開発,1662,有り,2018-05-30,2025-09-26,1796,93.88,無し
タスキホールディングス,166A,有り,2024-09-05,2025-09-26,256,92.42,無し
安藤・間,1719,有り,2018-05-30,2025-09-26,1796,93.88,無し
コムシスＨＤ,1721,有り,2018-05-30,2025-09-26,1796,93.88,無し
レジル,176A,有り,2024-10-01,2025-09-26,242,93.44,無し
コージンバイオ,177A,有り,2024-10-02,2025-09-26,241,93.41,無し
大成建,1801,有り,2018-05-30,2025-09-26,1796,93.88,無し
大林組,1802,有り,2018-05-30,2025-09-26,1796,93.88,無し
清水建,1803,有り,2018-05-30,2025-09-26,1796,93.88,無し
長谷工,1808,有り,2018-05-30,2025-09-26,1796,93.88,無し
鹿島,1812,有り,2018-05-30,2025-09-26,1796,93.88,無し
アストロスケールホールディングス,186A,有り,2024-11-11,2025-09-26,215,93.48,無し
大東建託,1878,有り,2018-05-30,2025-09-26,1796,93.88,無し
Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,190A,有り,2024-11-20,2025-09-26,208,93.27,無し
住友林業,1911,有り,2018-05-30,2025-09-26,1796,93.88,無し
ハウス,1925,有り,2018-05-30,2025-09-26,1796,93.88,無し
積ハウス,1928,有り,2018-05-30,2025-09-26,1796,93.88,無し
インテグループ,192A,有り,2024-11-22,2025-09-26,206,93.21,無し
関電工,1942,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＷＯＬＶＥＳ　ＨＡＮＤ,194A,有り,2024-11-26,2025-09-26,204,93.15,無し
エクシオグループ,1951,有り,2018-05-30,2025-09-26,1796,93.88,無し
九電工,1959,有り,2018-05-30,2025-09-26,1796,93.88,無し
日揮ＨＤ,1963,有り,2018-05-30,2025-09-26,1796,93.88,無し
高砂熱学工業,1969,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＰｏｓｔＰｒｉｍｅ,198A,有り,2024-11-26,2025-09-26,204,93.15,無し
日清粉Ｇ,2002,有り,2018-05-30,2025-09-26,1796,93.88,無し
豆蔵デジタルホールディングス,202A,有り,2024-12-03,2025-09-26,199,92.99,無し
ロゴスホールディングス,205A,有り,2024-12-04,2025-09-26,198,92.96,無し
