Code,filerName,TotalFiles,FirstSubmission,LastSubmission,その他,2018,2019,2020,2021,2022,2023,2024,2025,2026
1332,日本水産株式会社,14,2018-06-27 15:38:00,2022-11-11 13:07:00,14,1,1,4,4,4,0,0,0,0
1332,株式会社ニッスイ,15,2018-02-13 09:39:00,2025-11-13 10:58:00,15,3,3,0,0,0,4,3,2,0
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,5,2024-05-29 17:00:00,2025-10-14 16:01:00,5,0,0,0,0,0,0,3,2,0
1414,ショーボンドホールディングス株式会社,31,2018-02-13 09:24:00,2025-09-25 09:10:00,31,4,5,4,4,4,5,3,2,0
1419,タマホーム株式会社,30,2018-01-12 15:32:00,2026-01-13 15:30:00,30,4,4,4,4,4,4,3,2,1
141A,株式会社トライアルホールディングス,4,2024-05-14 16:00:00,2025-09-26 16:00:00,4,0,0,0,0,0,0,2,2,0
1431,株式会社Ｌｉｂ　Ｗｏｒｋ,34,2018-02-13 09:45:00,2025-09-24 15:40:00,34,4,5,4,4,5,4,6,2,0
1436,株式会社グリーンエナジー＆カンパニー,3,2024-12-10 16:04:00,2025-12-09 15:42:00,3,0,0,0,0,0,0,1,2,0
1436,株式会社フィット,25,2018-03-12 13:06:00,2024-03-11 15:22:00,25,4,4,4,4,4,4,1,0,0
1436,株式会社ＧｒｅｅｎＥｎｅｒｇｙ＆Ｃｏｍｐａｎｙ,1,2024-07-26 11:01:00,2024-07-26 11:01:00,1,0,0,0,0,0,0,1,0,0
1447,ＩＴｂｏｏｋホールディングス株式会社,35,2019-02-14 17:15:00,2024-06-28 11:31:00,35,0,4,4,5,5,15,2,0,0
1447,ＳＡＡＦホールディングス株式会社,3,2024-11-14 15:45:00,2025-11-14 16:01:00,3,0,0,0,0,0,0,1,2,0
147A,株式会社ソラコム,4,2024-06-26 13:44:00,2025-11-13 15:30:00,4,0,0,0,0,0,0,2,2,0
1518,三井松島ホールディングス株式会社,32,2018-02-09 14:13:00,2025-11-07 16:07:00,32,7,4,4,4,4,4,3,2,0
151A,株式会社ダイブ,4,2024-05-10 15:00:00,2025-09-24 15:30:00,4,0,0,0,0,0,0,2,2,0
153A,株式会社カウリス,5,2024-03-29 17:11:00,2025-08-14 15:30:00,5,0,0,0,0,0,0,3,2,0
156A,マテリアルグループ株式会社,5,2024-04-12 15:02:00,2025-11-26 15:30:00,5,0,0,0,0,0,0,3,2,0
1605,国際石油開発帝石株式会社,7,2018-06-27 13:07:00,2021-03-26 13:10:00,7,1,1,4,1,0,0,0,0,0
1605,株式会社ＩＮＰＥＸ,22,2018-02-13 13:06:00,2025-08-12 14:09:00,22,3,3,0,3,4,4,3,2,0
165A,ＳＢＩレオスひふみ株式会社,3,2024-11-08 09:03:00,2025-11-14 09:00:00,3,0,0,0,0,0,0,1,2,0
1662,石油資源開発株式会社,36,2018-02-13 14:51:00,2025-11-12 14:17:00,36,4,4,4,4,5,6,4,5,0
166A,株式会社タスキホールディングス,3,2024-12-20 15:59:00,2025-12-19 14:20:00,3,0,0,0,0,0,0,1,2,0
1719,株式会社安藤・間,29,2018-02-08 15:41:00,2025-11-07 14:27:00,29,4,4,4,4,4,4,3,2,0
1721,コムシスホールディングス株式会社,29,2018-02-08 15:01:00,2025-11-11 09:35:00,29,4,4,4,4,4,4,3,2,0
176A,レジル株式会社,5,2024-05-15 15:00:00,2025-09-26 13:18:00,5,0,0,0,0,0,0,2,3,0
177A,コージンバイオ株式会社,4,2024-06-28 15:00:00,2025-11-13 15:30:00,4,0,0,0,0,0,0,2,2,0
1801,大成建設株式会社,29,2018-02-09 09:36:00,2025-11-12 10:00:00,29,4,4,4,4,4,4,3,2,0
1802,株式会社大林組,30,2018-02-14 09:35:00,2025-11-06 09:22:00,30,4,4,4,5,4,4,3,2,0
1803,清水建設株式会社,30,2018-02-09 10:23:00,2025-11-10 16:48:00,30,5,4,4,4,4,4,3,2,0
1808,株式会社　長谷工コーポレーション,30,2018-02-09 15:37:00,2025-11-12 15:30:00,30,5,4,4,4,4,4,3,2,0
1812,鹿島建設株式会社,29,2018-02-14 10:49:00,2025-11-12 10:04:00,29,4,4,4,4,4,4,3,2,0
186A,株式会社アストロスケールホールディングス,4,2024-07-30 16:46:00,2025-12-12 16:03:00,4,0,0,0,0,0,0,2,2,0
1878,大東建託株式会社,31,2018-02-07 13:40:00,2025-11-14 11:30:00,31,4,4,4,4,5,5,3,2,0
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ株式会社,4,2024-07-16 13:55:00,2025-11-21 13:00:00,4,0,0,0,0,0,0,2,2,0
1911,住友林業株式会社,33,2018-02-09 09:59:00,2025-08-12 14:47:00,33,5,4,4,5,5,4,4,2,0
1925,大和ハウス工業株式会社,30,2018-02-13 09:56:00,2025-11-14 14:17:00,30,5,4,4,4,4,4,3,2,0
1928,積水ハウス株式会社,30,2018-04-27 11:27:00,2025-09-12 09:05:00,30,4,5,4,4,4,4,3,2,0
192A,インテグループ株式会社,4,2024-08-28 16:29:00,2026-01-14 15:56:00,4,0,0,0,0,0,0,1,2,1
1942,株式会社関電工,30,2018-02-14 09:16:00,2025-11-14 09:13:00,30,4,4,4,4,4,4,3,3,0
194A,株式会社ＷＯＬＶＥＳ　ＨＡＮＤ,3,2024-09-26 15:54:00,2025-09-26 16:28:00,3,0,0,0,0,0,0,1,2,0
