DocID,NetSales,OperatingIncome,Method
S100OZOA,305490000000.0,752315000000.0,Rule
S100MVKS,1723827000.0,220204000.0,Rule
S100SRN8,841969000000.0,8565000000.0,Rule
S100UR1R,34822000000.0,12789000000.0,Rule
S100UQZY,228134000000.0,11951000000.0,Rule
S100KVV2,2266994000.0,304618000.0,Rule
S100R1LR,147733000000.0,4607134000000.0,Rule
S100KWXR,252933000000.0,48669000000.0,Rule
S100MVKU,1107417000000.0,158130000000.0,Rule
S100KXBR,281999000000.0,21760000000.0,Rule
S100OZSH,147748000000.0,15702000000.0,Rule
S100OZPG,2927195000.0,817189000.0,Rule
S100MVJO,2186376000.0,137758000.0,Rule
S100UR30,826141000000.0,27720000000.0,Rule
S100KWXO,144662000000.0,12589000000.0,Rule
S100KXTS,62140000000.0,-2758000000.0,Rule
S100MVKW,1006138000.0,133174000.0,Rule
S100SRMD,2013199000000.0,101661000000.0,Rule
S100OZTN,241320000000.0,12265000000.0,Rule
S100SRNA,113393000000.0,13354000000.0,Rule
S100UR3J,7123943000.0,294937000.0,Rule
S100SRN9,104149000000.0,-27626000000.0,Rule
S100R1M3,9059300000.0,970136000.0,Rule
S100R1N2,948094000000.0,140076000000.0,Rule
S100OZVQ,213438000.0,-163415000.0,Rule
S100KXVL,4189007000.0,140684000.0,Rule
S100R1JA,1064376000000.0,74606000000.0,Rule
S100UR3Z,559360000.0,-295468000.0,Rule
S100MVKY,1401271000.0,-298065000.0,Rule
S100KY2H,2276659000.0,-310448000.0,Rule
S100MVL8,8968678000.0,855348000.0,Rule
S100SROC,735359000000.0,20583000000.0,Rule
S100R1NN,78111000000.0,71716000000.0,Rule
S100SRQ5,5427765000000.0,451561000000.0,Rule
S100OZWC,6382380000.0,493103000.0,Rule
S100R1KF,257559000000.0,180637000000.0,Rule
S100OZRG,,2163890000000.0,Rule
S100MVMX,743801000.0,176835000.0,Rule
S100OZWQ,2784721000.0,113496000.0,Rule
S100R1O0,1242521000000.0,91666000000.0,Rule
S100UR4G,998588000000.0,37876000000.0,Rule
S100SRQH,1697688000000.0,37158000000.0,Rule
S100MVNG,217506000000.0,24749000000.0,Rule
S100UQZ6,96178000000.0,9763000000.0,Rule
S100MVJH,,,Rule
