DocID,NetSales_LLM,OperatingIncome_LLM,Sentiment_LLM
S100RKOB,475499000000.0,22166000000.0,0.6
S100M6HO,201968000000.0,-49387000000.0,0.2
S100PU2H,10295454000.0,,
S100OAR8,703303000000.0,,0.6
S100M6JF,355207000.0,73103000.0,
S100SVI1,9539802000000.0,979389000000.0,
S100UXN1,3402169000.0,15877000.0,
S100OAT9,175660000000.0,,0.2
S100RKOD,1142929000.0,541575000.0,
S100PU3P,12227257000.0,,
S100SVJ3,349924000000.0,54445000000.0,0.5
S100UXZA,802996000000.0,,
S100M6KF,928264000000.0,87022000000.0,0.7
S100RKOZ,18734000000.0,1909000000.0,
S100OATQ,265237000000.0,,-0.2
S100PUFW,4663759000.0,,
S100UXZL,8650209000.0,416828000.0,-0.2
S100SVJ5,289894000000.0,,
S100M6KV,21161000000.0,7148000000.0,
S100OAUS,495567000000.0,,0.1
S100SVJN,3633399000.0,38155000.0,
S100PUIT,7295234000.0,,-0.3
S100RKPD,362660000000.0,3791000000.0,-0.4
S100M6MQ,919303000000.0,,0.2
S100UXZU,725785000.0,-12121397000.0,
S100UY1X,73785055000.0,,0.0
S100SVJS,14073200000.0,740963000.0,0.6
S100PUJU,6417326000.0,,0.4
S100OAUW,48842000000.0,,0.0
S100RKPT,263919000000.0,,0.0
S100M6MU,48578000000.0,6975000000.0,0.2
S100PUKS,5646198000.0,,0.0
S100OAYB,302746000000.0,,
S100RKR4,262734000000.0,19497000000.0,
S100SVKC,96955000000.0,11687000000.0,0.6
S100PUM9,952686000000.0,,0.6
S100OAYI,936306000000.0,,0.4
S100UY3M,5152287000.0,,0.6
S100M6NH,173223000000.0,,
S100M6P6,218811000000.0,3783000000.0,
S100UY8W,18705381000.0,,0.0
S100RKRB,2029694000000.0,90372000000.0,0.6
S100SVKJ,582786000000.0,25382000000.0,
S100PUQD,4429056000.0,,0.3
S100OB0D,690392000000.0,,-0.1
S100RKRT,81510000000.0,7101000000.0,0.0
S100SVLS,1020369000000.0,121721000000.0,0.8
S100UYCR,15544000000.0,,-0.4
S100M6RO,189958000000.0,5299000000.0,0.0
S100PURU,59193000000.0,,
S100OB0O,516440000000.0,52273000000.0,0.6
S100SVMN,,,0.0
S100UYE9,4822452000.0,,0.5
S100OB0T,133277000000.0,,0.5
S100RKS2,606081000.0,-215203000.0,0.3
S100M6SX,146290000000.0,8900000000.0,0.7
S100RKTF,1082140000000.0,84467000000.0,
S100PUTL,10574552000.0,,
S100SVNK,201285000000.0,11820000000.0,0.0
S100M6T1,157778000000.0,21720000000.0,0.3
S100UYEK,3476794000.0,,0.0
S100OB0Z,,,0.2
S100PUYZ,18625068000.0,,0.0
S100RKTZ,106375000000.0,7622000000.0,
S100UZ3K,2524519000.0,,
S100OB34,10264602000000.0,,
S100SVO4,,,
S100M6TF,15331000000.0,1755000000.0,0.2
S100RKUD,72466000000.0,7653000000.0,
S100PV1O,631769000000.0,95047000000.0,0.2
S100SVO6,7527111000.0,465061000.0,0.5
S100M6V8,10100000000.0,657000000.0,
S100PV48,28965063000.0,,0.4
S100OB3H,,,
S100RKVT,67671000000.0,17063000000.0,0.7
S100UZ7A,203961000000.0,,-0.2
S100SVOM,5178666000.0,-680542000.0,
S100OB6L,1543240000000.0,,
S100PV84,281301000000.0,10123000000.0,-0.5
S100UZ8M,10992713000.0,,
S100M6V9,68965000000.0,18794000000.0,0.3
S100RKVX,1429666000000.0,246319000000.0,0.4
S100UZAO,10541614000.0,,0.6
S100SVOW,1158890000.0,200958000.0,0.5
S100OB9K,2744520000000.0,,0.0
S100M6VU,199175000000.0,1129000000.0,
S100RKW1,541220000000.0,-7057000000.0,
S100PVBZ,48984000000.0,,
S100SVPM,1455604000.0,184389000.0,
S100M6VW,96423000000.0,11614000000.0,0.0
S100UZB8,7502871000.0,,0.6
S100RKW3,227791000000.0,49426000000.0,0.0
S100OBAY,868867000000.0,,0.6
S100PVFI,1254681000.0,,0.2
S100UZFM,5944680000.0,,
S100SVQ6,11812056000.0,302371000.0,0.2
S100OBDU,,,-0.5
S100SVSD,2029387000.0,260897000.0,
S100PVHW,463903000000.0,44547000000.0,
S100M6WK,44314000000.0,3220000000.0,0.7
S100RKWH,41588000000.0,907000000.0,-0.2
S100OBEJ,,,0.0
S100M6X4,225889000000.0,17254000000.0,0.0
S100PVTG,13257520000.0,,0.0
S100UZKO,13712977000.0,,0.3
S100RKWT,12944000000.0,1074000000.0,0.2
S100SVSF,47036204000.0,11734285000.0,
S100M6XX,50426000000.0,,
S100PW0E,184281000000.0,8278000000.0,0.6
S100OBGN,1157945000000.0,,-0.6
S100UZMX,47455431000.0,,0.3
S100RKXL,3218320000000.0,94005000000.0,
S100SVSM,94832000000.0,19189000000.0,0.2
S100M6YG,175567000000.0,5047000000.0,
S100UZOM,107781000000.0,,0.4
S100PW4X,220251000000.0,,0.0
S100RKY0,25368000000.0,7111000000.0,
S100SVTE,169638000000.0,27944000000.0,0.6
S100UZQ5,1295862000000.0,,0.3
S100M6YH,466625000000.0,33246000000.0,0.4
S100OBH8,415116000000.0,,0.0
S100OBGP,102009000000.0,,-0.3
S100PW7J,2428853000.0,,-0.7
S100RKYC,209366000000.0,38485000000.0,0.3
S100SVTK,1803453000.0,-448750000.0,-0.7
S100UZTG,17113505000.0,,0.6
S100M6YQ,82856000000.0,8693000000.0,0.6
S100OBJK,,,0.0
S100RKYL,118646000000.0,13075000000.0,0.6
S100PW9M,484106000000.0,,0.4
S100SVUC,1269830000000.0,,0.3
S100OBLA,2079695000000.0,,
S100M702,146544000000.0,30493000000.0,0.6
S100V02M,8364548000.0,,0.6
S100PWCK,3793918000.0,,-0.4
S100RKZC,19884000000.0,2095000000.0,
S100V07B,1265333000.0,,
S100SVUM,93669000000.0,9363000000.0,0.0
S100M70V,266236000000.0,22394000000.0,0.6
S100PWP2,179738000000.0,35867000000.0,0.4
S100RL0D,59178000000.0,,0.6
S100SVVL,1492672000000.0,79844000000.0,0.0
S100M70X,7061509000.0,1514138000.0,0.0
S100V09K,13615000000.0,,0.2
S100OBMW,885096000000.0,-173127000000.0,0.2
S100SVW9,3366245000.0,893058000.0,
S100RL18,102475000000.0,-3324000000.0,0.0
S100OBO5,682912000000.0,,0.0
S100PWWG,54927000000.0,,0.0
S100M712,86727000000.0,7748000000.0,0.6
S100V0AT,1515258000.0,,0.3
S100SVWB,6259391000.0,1101298000.0,0.6
S100RL1K,86522000000.0,12044000000.0,0.6
S100OBPZ,107140000000.0,,0.0
S100PXBV,5872089000000.0,,0.3
S100V0AV,2173225000.0,,-0.4
S100M714,1710449000.0,179382000.0,
S100OBQE,3569006000000.0,,
S100PXDZ,845986000000.0,31468000000.0,0.3
S100RL22,380998000000.0,,0.0
S100M723,206962000000.0,4325000000.0,
