Code,SubmissionDate,NetSales,OperatingIncome,OrdinaryIncome,NetIncome,NetAssets,TotalAssets
9502,2018-02-05,3752498.0,125770.0,116253.0,80846.0,1803610.0,5423330.0
5631,2018-02-14,163657.0,18234.0,17612.0,12546.0,122121.0,285962.0
8233,2018-01-11,718910.0,21710.0,24376.0,14477.0,439643.0,1050714.0
7649,2018-01-11,341129.0,17855.0,18654.0,12419.0,158132.0,252224.0
8194,2018-01-12,502108.0,7025.0,7440.0,3624.0,65747.0,227391.0
7261,2018-02-13,4149884.0,109795.0,134842.0,84907.0,1200322.0,2697614.0
7453,2018-01-11,280045.0,33538.0,34453.0,23271.0,168459.0,236081.0
3141,2018-01-10,514698.0,19628.0,21188.0,13092.0,126431.0,287124.0
3349,2018-01-12,270835.0,10292.0,11589.0,7781.0,99952.0,234345.0
9602,2018-01-15,,42637.0,41042.0,28238.0,345288.0,448087.0
2670,2018-01-11,189395.0,32704.0,33559.0,22229.0,232719.0,271121.0
2685,2018-01-12,163269.0,6890.0,7238.0,6594.0,56610.0,99312.0
3382,2018-01-12,4536315.0,305392.0,295717.0,149263.0,2545943.0,5561865.0
6432,2018-01-12,111237.0,11292.0,11487.0,7904.0,66381.0,89638.0
2726,2018-01-12,91591.0,6224.0,6144.0,3310.0,39274.0,86068.0
3148,2018-01-12,130967.0,6103.0,6279.0,4276.0,65198.0,113427.0
3990,2018-01-11,4873260.0,258821.0,247752.0,159413.0,1559314.0,3170861.0
1419,2018-01-12,76193.0,-822.0,-186.0,-598.0,12971.0,87779.0
2168,2018-01-12,152542.0,5713.0,2634.0,470.0,27886.0,100881.0
6255,2018-01-12,1567729.0,302438.0,186480.0,191406.0,5568841.0,9039874.0
7599,2018-01-12,204338.0,5935.0,4481.0,2749.0,40976.0,126412.0
6086,2018-01-15,6841057.0,283744.0,293277.0,193310.0,1701115.0,4678909.0
8267,2018-01-15,6639176.0,102798.0,105106.0,-4404.0,1867242.0,9449063.0
2379,2018-01-12,28758672.0,8147056.0,8168266.0,5694933.0,18917266.0,24737561.0
3697,2018-01-12,2657642.0,609580.0,264196.0,163417.0,2220360.0,5501577.0
6182,2018-01-12,1533879.0,71400.0,8832.0,-17236.0,2134024.0,3127808.0
3063,2018-01-12,12393981.0,-628938.0,-148333.0,-207257.0,1658677.0,9502234.0
6323,2018-01-15,43012128.0,4637552.0,4468801.0,3108185.0,21043207.0,33008072.0
3479,2018-01-15,21301.0,3042.0,2821.0,1984.0,8763.0,29857.0
3991,2018-01-15,432596.0,27056.0,28444.0,11768.0,539813.0,921462.0
2002,2018-01-23,552329.0,25511.0,30329.0,19466.0,406805.0,557568.0
2327,2018-02-09,168315.0,13856.0,14437.0,9761.0,137519.0,212235.0
4666,2018-01-26,233130.0,30587.0,20281.0,13439.0,78804.0,256341.0
4751,2018-01-26,103277.0,8890.0,7792.0,2361.0,99264.0,162883.0
4626,2018-02-02,49329.0,9330.0,8659.0,6160.0,75251.0,97068.0
9697,2018-01-31,47740.0,9960.0,7099.0,4439.0,80531.0,111863.0
9508,2018-02-07,1548792.0,103646.0,83644.0,73636.0,636856.0,4543243.0
3653,2018-01-30,2357655.0,1465619.0,839054.0,630268.0,4485001.0,4814688.0
9090,2018-02-13,55982272.0,3296544.0,3482048.0,2428021.0,20076462.0,40258846.0
9513,2018-02-01,889061.0,100031.0,100711.0,65659.0,832344.0,2654070.0
2497,2018-01-31,10508210.0,1691674.0,1106170.0,584727.0,10126142.0,12894030.0
3099,2018-02-02,1032502.0,22713.0,24508.0,8562.0,591783.0,1345631.0
9024,2018-01-31,556901.0,65956.0,58525.0,57207.0,392649.0,1576449.0
2897,2018-02-06,414421.0,31433.0,32038.0,23843.0,390883.0,582899.0
9024,2018-01-31,574201.0,63582.0,57472.0,47564.0,360133.0,1670212.0
4506,2018-02-02,364233.0,123828.0,57985.0,50591.0,516625.0,841811.0
7550,2018-02-06,437332.0,13672.0,13861.0,6869.0,83607.0,298598.0
3038,2018-01-31,253126.0,16744.0,15778.0,8346.0,30066.0,144484.0
5334,2018-02-14,303801.0,51593.0,54599.0,34607.0,393065.0,610371.0
5406,2018-02-01,1417886.0,71839.0,64851.0,55823.0,790605.0,2309365.0
9201,2018-02-01,1159702.0,145294.0,142197.0,114125.0,1085054.0,1798849.0
8252,2018-02-01,181961.0,28397.0,25595.0,16330.0,274457.0,870542.0
6472,2018-02-02,665674.0,27367.0,22242.0,13779.0,273408.0,836858.0
4308,2018-02-02,4385439.0,818081.0,206334.0,210891.0,3821928.0,4677609.0
5411,2018-02-06,3659086.0,172318.0,182392.0,138620.0,2012607.0,4440848.0
8439,2018-02-05,747668.0,63125.0,58990.0,35795.0,438580.0,3713885.0
6707,2018-02-13,130913.0,10772.0,8893.0,-10997.0,75692.0,190634.0
5711,2018-02-13,1211422.0,54988.0,75371.0,43734.0,796767.0,2121073.0
6861,2018-02-02,381595.0,210702.0,217247.0,152372.0,1325242.0,1402753.0
4005,2018-02-13,1621289.0,140282.0,171240.0,108553.0,1304768.0,3123341.0
7276,2018-02-02,800092.0,74455.0,78879.0,47517.0,418233.0,643737.0
4307,2018-02-02,419227.0,46614.0,47702.0,45303.0,424585.0,614430.0
6506,2018-02-02,372966.0,42761.0,41618.0,29651.0,229618.0,430123.0
7205,2018-02-05,1548218.0,63394.0,63384.0,39257.0,552087.0,1248567.0
6963,2018-02-06,313163.0,47623.0,47740.0,34349.0,763572.0,887287.0
6674,2018-02-02,296984.0,13721.0,14210.0,6218.0,196898.0,388831.0
8410,2018-02-06,,,30029.0,20550.0,207376.0,1131846.0
4684,2018-02-06,50361.0,24587.0,26873.0,20026.0,191965.0,212339.0
9507,2018-02-06,584925.0,37365.0,36819.0,26418.0,320793.0,1306547.0
9506,2018-02-07,1680539.0,80303.0,67157.0,42834.0,792802.0,4119601.0
6436,2018-02-05,88124.0,11903.0,9691.0,6647.0,101938.0,137814.0
9501,2018-02-05,7159801.0,295680.0,400402.0,225646.0,2559808.0,12124564.0
7012,2018-02-08,1151404.0,47561.0,39999.0,14520.0,466524.0,1903409.0
4564,2018-02-05,,-2217301.0,-2215476.0,-2146749.0,8337646.0,8848248.0
7419,2018-02-09,369479.0,12637.0,13868.0,8528.0,63759.0,261585.0
5803,2018-02-06,565485.0,29803.0,29853.0,19230.0,253553.0,662668.0
1942,2018-02-14,362430.0,18028.0,18836.0,11967.0,224825.0,411663.0
6841,2018-02-07,294020.0,20544.0,20526.0,8663.0,273134.0,439760.0
9143,2018-02-05,847384.0,53219.0,53917.0,30027.0,339958.0,691978.0
7994,2018-02-13,170744.0,6174.0,7068.0,4777.0,120524.0,224430.0
3289,2018-02-09,608847.0,54999.0,48354.0,29108.0,465484.0,2197900.0
8424,2018-02-13,434076.0,31249.0,26420.0,16432.0,280560.0,2429105.0
6954,2018-02-09,535994.0,169235.0,185618.0,136314.0,1440061.0,1683188.0
2317,2018-02-06,38906.0,3715.0,3706.0,2585.0,16381.0,26152.0
6302,2018-02-07,562218.0,47867.0,47183.0,20493.0,425104.0,862600.0
1951,2018-02-06,,16782.0,14927.0,9787.0,166314.0,233294.0
4686,2018-02-06,17036626.0,4681060.0,4874203.0,3579493.0,39325722.0,45308171.0
9759,2018-02-14,43158851.0,5722161.0,5867543.0,3835051.0,44772358.0,52170051.0
1969,2018-02-08,203789.0,10913.0,11732.0,7448.0,122823.0,255836.0
1878,2018-02-07,1165850.0,120943.0,115350.0,78561.0,287576.0,713764.0
5332,2018-02-06,471727.0,40829.0,40120.0,26275.0,327025.0,557389.0
9509,2018-02-13,590332.0,14911.0,4310.0,3590.0,200230.0,1903837.0
4980,2018-02-07,55918.0,7859.0,6314.0,4361.0,52370.0,95795.0
6920,2018-02-09,10451784.0,3277309.0,3293538.0,2415813.0,25806655.0,34802336.0
9022,2018-02-07,1498199.0,563092.0,503924.0,339767.0,3033885.0,8804569.0
9532,2018-02-13,951714.0,48544.0,50359.0,31660.0,1020714.0,1857515.0
2760,2018-02-07,119427.0,2104.0,1841.0,1270.0,24177.0,88601.0
6504,2018-02-14,634861.0,26465.0,21830.0,13375.0,349538.0,920958.0
1721,2018-02-08,265122.0,23672.0,17115.0,11755.0,224677.0,294902.0
5333,2018-02-06,332489.0,54934.0,53187.0,33560.0,475276.0,836693.0
9962,2018-02-06,231058.0,27685.0,26886.0,20104.0,184780.0,233581.0
1801,2018-02-09,1135858.0,114738.0,117629.0,80961.0,629229.0,1753761.0
5802,2018-02-07,2315365.0,112940.0,124601.0,73047.0,1715562.0,3069985.0
1803,2018-02-09,1184721.0,80807.0,81572.0,57840.0,640094.0,1710244.0
5233,2018-02-09,702912.0,48683.0,49635.0,32531.0,424596.0,1039934.0
9302,2018-02-07,176353.0,8590.0,5887.0,3391.0,48935.0,265453.0
4062,2018-02-08,219677.0,10881.0,12463.0,8313.0,293388.0,446795.0
2002,2018-02-08,416558.0,21881.0,26003.0,18087.0,417472.0,584377.0
7186,2018-02-07,,,74986.0,50585.0,1169946.0,18823918.0
2264,2018-02-08,468201.0,29344.0,23108.0,16956.0,160316.0,423461.0
8309,2018-02-13,,,189493.0,122814.0,2833794.0,64214040.0
6273,2018-02-07,439153.0,148294.0,157359.0,113991.0,1157388.0,1357751.0
7014,2018-02-07,101631.0,-3610.0,-3933.0,-4214.0,93832.0,205512.0
8601,2018-02-07,,101692.0,113089.0,73998.0,1375632.0,21925865.0
5805,2018-02-08,145687.0,4734.0,4048.0,2706.0,31187.0,124057.0
3088,2018-02-13,714584.0,25869.0,27208.0,17420.0,199557.0,307672.0
3092,2018-02-14,70915.0,23551.0,23600.0,16285.0,37098.0,65773.0
9020,2018-02-07,2428496.0,437710.0,399662.0,268842.0,2878767.0,7923614.0
6770,2018-02-08,700996.0,60716.0,58097.0,44415.0,415375.0,695583.0
5991,2018-02-07,490845.0,25570.0,27568.0,20372.0,311394.0,566845.0
5393,2018-02-08,146592.0,15072.0,15698.0,10667.0,105827.0,189846.0
7011,2018-02-09,2942432.0,87793.0,91181.0,24765.0,2181205.0,5884964.0
9005,2018-02-08,884197.0,69194.0,70044.0,62388.0,735142.0,2243242.0
8425,2018-02-08,283276.0,14127.0,14701.0,10231.0,151618.0,1754743.0
2269,2018-02-09,937843.0,72517.0,74312.0,50720.0,488455.0,950385.0
3773,2018-02-13,2248411.0,166108.0,202048.0,195753.0,5162615.0,6681820.0
5021,2018-02-08,1816575.0,83820.0,86936.0,48732.0,329631.0,1728998.0
5801,2018-02-09,752093.0,33283.0,34758.0,29226.0,278109.0,821813.0
8584,2018-02-08,99476.0,10950.0,10983.0,6995.0,152755.0,4060939.0
6965,2018-02-09,35085.0,10589.0,6341.0,4301.0,184606.0,234634.0
7701,2018-02-08,264740.0,26897.0,25660.0,18031.0,258557.0,395395.0
1963,2018-02-08,532417.0,21650.0,27849.0,19849.0,401239.0,703353.0
2531,2018-02-09,220946.0,13629.0,13984.0,10396.0,175764.0,291649.0
8308,2018-02-08,,,168034.0,202760.0,2210590.0,48970710.0
6103,2018-02-08,178755.0,14931.0,15641.0,10192.0,159159.0,229702.0
7282,2018-02-09,591824.0,26514.0,28805.0,17284.0,358552.0,642415.0
6632,2018-02-09,217669.0,4624.0,1718.0,1828.0,65589.0,254849.0
8593,2018-02-09,645358.0,71244.0,68467.0,45111.0,723379.0,5569216.0
6544,2018-02-08,11161524.0,941740.0,938539.0,534302.0,2547416.0,10064930.0
9503,2018-02-09,2465675.0,193220.0,190049.0,138426.0,1471334.0,6940702.0
7202,2018-02-09,984686.0,74113.0,82798.0,52657.0,1016415.0,1957297.0
1719,2018-02-08,298595.0,29419.0,24897.0,17086.0,116307.0,335654.0
7974,2018-02-13,857012.0,156462.0,194563.0,135165.0,1349461.0,1773449.0
7988,2018-02-08,198899.0,27232.0,23461.0,16185.0,143074.0,273211.0
1332,2018-02-13,543914.0,22843.0,21336.0,16427.0,158881.0,500171.0
8354,2018-02-09,,,55254.0,38433.0,760240.0,19883178.0
2871,2018-02-09,450229.0,26006.0,26038.0,16326.0,169450.0,375204.0
9021,2018-02-09,1305024.0,175268.0,162226.0,108468.0,1115847.0,3063294.0
8876,2018-02-14,165813.0,11805.0,11151.0,7333.0,44720.0,106852.0
4613,2018-02-13,313846.0,28768.0,32081.0,17903.0,322400.0,602040.0
7148,2018-02-09,4491878.0,2268859.0,2109589.0,1431233.0,23077823.0,95635753.0
5947,2018-02-13,268775.0,24868.0,26344.0,16690.0,300162.0,415060.0
8098,2018-02-13,465301.0,6020.0,6629.0,7641.0,147188.0,359258.0
4516,2018-02-08,77703.0,15342.0,15975.0,11660.0,125060.0,153845.0
9064,2018-02-09,1339512.0,48142.0,32378.0,17429.0,559365.0,1150746.0
8331,2018-02-09,,,66773.0,46470.0,957794.0,14326169.0
7270,2018-02-14,2583140.0,306305.0,303116.0,152843.0,1520740.0,2793186.0
4204,2018-02-08,807231.0,70639.0,64280.0,44298.0,611271.0,1040248.0
2875,2018-02-13,301179.0,22985.0,24045.0,16273.0,295375.0,381450.0
9001,2018-02-14,469409.0,51890.0,48120.0,33806.0,474803.0,1617656.0
4021,2018-02-09,167718.0,24412.0,23947.0,17734.0,172303.0,227003.0
4401,2018-02-09,187516.0,16866.0,17380.0,12136.0,201356.0,307863.0
3133,2018-02-13,4520746.0,-11616.0,-15447.0,33111.0,885181.0,3247444.0
1808,2018-02-09,602579.0,69691.0,66303.0,45558.0,269412.0,627973.0
6383,2018-02-13,340913.0,27978.0,29019.0,21540.0,181911.0,362621.0
6806,2018-02-09,94658.0,22756.0,23513.0,16216.0,305139.0,340248.0
4978,2018-02-09,686968.0,-772402.0,-639055.0,-652194.0,7789726.0,8213179.0
9110,2018-02-09,104002.0,6591.0,5478.0,6287.0,83367.0,230975.0
9024,2018-02-09,437771.0,54741.0,48289.0,33497.0,386813.0,1627836.0
4043,2018-02-09,254238.0,30150.0,26477.0,7342.0,124815.0,359091.0
9006,2018-02-09,264318.0,27899.0,25753.0,17248.0,257476.0,871035.0
4208,2018-02-09,524555.0,38415.0,39069.0,26670.0,335573.0,734867.0
3231,2018-02-09,419595.0,54525.0,45539.0,27489.0,499291.0,1688447.0
9142,2018-02-13,355777.0,52134.0,54249.0,39929.0,376748.0,716501.0
2173,2018-02-09,8650130.0,501355.0,413475.0,195862.0,1026937.0,5139629.0
7906,2018-02-09,55867313.0,1664250.0,1570682.0,1051425.0,35839932.0,51762006.0
