Code,PeriodEnd,Cash,NetAssets,NetIncome,NetSales,OperatingIncome,OrdinaryIncome,ProfitBeforeTax,TotalAssets
1605,2023-12-31,201149000000.0,4419182000000.0,371531000000.0,2205914000000.0,1114189000000.0,1350448000000.0,1253384000000.0,6739476000000.0
1605,2024-03-31,227314000000.0,,122690000000.0,609047000000.0,380102000000.0,,372923000000.0,7301250000000.0
1605,2024-06-30,233158000000.0,,212614000000.0,1213174000000.0,700071000000.0,,713216000000.0,7765620000000.0
1605,2024-12-31,241675000000.0,2743233000000.0,427344000000.0,2294789000000.0,1271789000000.0,210933000000.0,1298811000000.0,7380863000000.0
1605,2025-06-30,262452000000.0,,223527000000.0,1061408000000.0,616882000000.0,,644984000000.0,7029326000000.0
1801,2023-12-31,195425000000.0,2120642000000.0,28125000000.0,1189974000000.0,30680000000.0,25093000000.0,,2120642000000.0
1801,2024-03-31,434711000000.0,2583641000000.0,57093000000.0,1835965000000.0,61454000000.0,38910000000.0,,2583641000000.0
1801,2024-09-30,247418000000.0,2365023000000.0,66174000000.0,982151000000.0,41463000000.0,49748000000.0,,2365023000000.0
1801,2025-03-31,295963000000.0,2428837000000.0,178250000000.0,2228278000000.0,124743000000.0,134505000000.0,,2428837000000.0
1802,2023-12-31,249420000000.0,2949054000000.0,69094000000.0,1750471000000.0,53675000000.0,61098000000.0,,2949054000000.0
1802,2024-03-31,339188000000.0,3017047000000.0,107106000000.0,2389764000000.0,80644000000.0,91515000000.0,,3017047000000.0
1802,2024-09-30,268092000000.0,2961053000000.0,79337000000.0,1264191000000.0,45497000000.0,49719000000.0,,2961053000000.0
1802,2025-03-31,394728000000.0,3042778000000.0,211040000000.0,2667220000000.0,143442000000.0,153383000000.0,,3042778000000.0
1812,2023-12-31,328327000000.0,3169889000000.0,118349000000.0,2078734000000.0,102115000000.0,112866000000.0,,3169889000000.0
1812,2024-03-31,354716000000.0,3135149000000.0,168931000000.0,2780031000000.0,136226000000.0,150112000000.0,,3135149000000.0
1812,2024-09-30,280359000000.0,3365000000000.0,53222000000.0,1375107000000.0,48090000000.0,48958000000.0,,3365000000000.0
1812,2025-03-31,354486000000.0,3454592000000.0,176100000000.0,3029122000000.0,151882000000.0,160663000000.0,,3454592000000.0
1878,2023-12-31,168318000000.0,1008329000000.0,86449000000.0,1290407000000.0,92944000000.0,84731000000.0,,1008329000000.0
1878,2024-03-31,245758000000.0,1080069000000.0,110607000000.0,1760956000000.0,131554000000.0,108720000000.0,,1080069000000.0
1878,2024-09-30,257188000000.0,1112224000000.0,73836000000.0,927874000000.0,78889000000.0,73803000000.0,,1112224000000.0
1878,2025-03-31,235890000000.0,1222783000000.0,130055000000.0,1886129000000.0,152496000000.0,129455000000.0,,1222783000000.0
1911,2023-12-31,174771000000.0,1812722000000.0,161353000000.0,1769080000000.0,146755000000.0,159418000000.0,,1812722000000.0
1911,2024-03-31,135926000000.0,1923408000000.0,39772000000.0,461852000000.0,40631000000.0,41197000000.0,,1923408000000.0
1911,2024-06-30,172881000000.0,2111469000000.0,95192000000.0,998491000000.0,93307000000.0,96332000000.0,,2111469000000.0
1911,2024-12-31,206297000000.0,2261128000000.0,192029000000.0,2089717000000.0,194588000000.0,197955000000.0,,2261128000000.0
1911,2025-06-30,171572000000.0,2247210000000.0,87454000000.0,1092385000000.0,82951000000.0,89635000000.0,,2247210000000.0
1925,2023-12-31,378773000000.0,6541264000000.0,323149000000.0,3846513000000.0,333505000000.0,277452000000.0,,6541264000000.0
1925,2024-03-31,450129000000.0,6533721000000.0,455834000000.0,5326740000000.0,466786000000.0,427548000000.0,,6533721000000.0
1925,2024-09-30,527940000000.0,6904736000000.0,229155000000.0,2715607000000.0,272925000000.0,220958000000.0,,6904736000000.0
1925,2025-03-31,333198000000.0,7049323000000.0,488783000000.0,5568997000000.0,546279000000.0,515985000000.0,,7049323000000.0
1928,2023-10-31,314160000000.0,3429634000000.0,199639000000.0,2219246000000.0,224886000000.0,186659000000.0,,3429634000000.0
1928,2024-01-31,293152000000.0,3352798000000.0,288958000000.0,3146682000000.0,322023000000.0,268248000000.0,,3352798000000.0
1928,2024-04-30,387974000000.0,4463376000000.0,70863000000.0,785940000000.0,81392000000.0,70995000000.0,,4463376000000.0
1928,2024-07-31,431839000000.0,4720306000000.0,161752000000.0,1877933000000.0,179792000000.0,147176000000.0,,4720306000000.0
1928,2025-01-31,390559000000.0,4808848000000.0,305586000000.0,4095193000000.0,378211000000.0,301627000000.0,,4808848000000.0
1928,2025-07-31,335393000000.0,4662545000000.0,147802000000.0,2034546000000.0,178442000000.0,136600000000.0,,4662545000000.0
2127,2023-12-31,42165662000.0,58960320000.0,11677032000.0,31147723000.0,11234618000.0,11676775000.0,,58960320000.0
2127,2024-03-31,37439818000.0,58640609000.0,16519708000.0,44136889000.0,16066977000.0,16518756000.0,,58640609000.0
2127,2024-09-30,35452792000.0,55303857000.0,5990731000.0,18591759000.0,5924781000.0,5990731000.0,,55303857000.0
