code,name,is_nikkei_225,is_topix_core30,is_topix_100,is_jpx_nikkei_400,is_growth_core,is_growth_250
1332,ニッスイ,1,0,0,1,0,0
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,0,0,0,0,0,1
1414,ショーボンドホールディングス,0,0,0,1,0,0
1419,タマホーム,0,0,0,1,0,0
141A,トライアルホールディングス,0,0,0,0,1,1
1431,Ｌｉｂ　Ｗｏｒｋ,0,0,0,0,0,1
1436,グリーンエナジー＆カンパニー,0,0,0,0,0,1
1447,ＳＡＡＦホールディングス,0,0,0,0,0,1
147A,ソラコム,0,0,0,0,0,1
1518,三井松島ホールディングス,0,0,0,1,0,0
151A,ダイブ,0,0,0,0,0,1
153A,カウリス,0,0,0,0,0,1
156A,マテリアルグループ,0,0,0,0,0,1
1605,ＩＮＰＥＸ,1,0,0,1,0,0
165A,ＳＢＩレオスひふみ,0,0,0,0,0,1
1662,石油資源開発,0,0,0,1,0,0
166A,タスキホールディングス,0,0,0,0,0,1
1719,安藤・間,0,0,0,1,0,0
1721,コムシスＨＤ,1,0,0,1,0,0
176A,レジル,0,0,0,0,0,1
177A,コージンバイオ,0,0,0,0,0,1
1801,大成建,1,0,0,1,0,0
1802,大林組,1,0,0,1,0,0
1803,清水建,1,0,0,0,0,0
1808,長谷工,1,0,0,1,0,0
1812,鹿島,1,0,0,1,0,0
186A,アストロスケールホールディングス,0,0,0,0,1,1
1878,大東建託,0,0,0,1,0,0
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,0,0,0,0,0,1
1911,住友林業,0,0,0,1,0,0
1925,ハウス,1,0,1,1,0,0
1928,積ハウス,1,0,1,1,0,0
192A,インテグループ,0,0,0,0,0,1
1942,関電工,0,0,0,1,0,0
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,0,0,0,0,0,1
1951,エクシオグループ,0,0,0,1,0,0
1959,九電工,0,0,0,1,0,0
1963,日揮ＨＤ,1,0,0,0,0,0
1969,高砂熱学工業,0,0,0,1,0,0
198A,ＰｏｓｔＰｒｉｍｅ,0,0,0,0,0,1
2002,日清粉Ｇ,1,0,0,0,0,0
202A,豆蔵デジタルホールディングス,0,0,0,0,0,1
205A,ロゴスホールディングス,0,0,0,0,0,1
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,0,0,0,0,0,1
2124,ジェイエイシーリクルートメント,0,0,0,1,0,0
2127,日本Ｍ＆Ａセンターホールディングス,0,0,0,1,0,0
2154,オープンアップグループ,0,0,0,1,0,0
2158,ＦＲＯＮＴＥＯ,0,0,0,0,0,1
215A,タイミー,0,0,0,0,1,1
2160,ジーエヌアイグループ,0,0,0,0,1,1
2168,パソナグループ,0,0,0,1,0,0
2173,博展,0,0,0,0,0,1
2181,パーソルホールディングス,0,0,0,1,0,0
218A,Ｌｉｂｅｒａｗａｒｅ,0,0,0,0,0,1
2195,アミタホールディングス,0,0,0,0,0,1
219A,Ｈｅａｒｔｓｅｅｄ,0,0,0,0,0,1
2201,森永製菓,0,0,0,1,0,0
2222,寿スピリッツ,0,0,0,1,0,0
2229,カルビー,0,0,0,1,0,0
2264,森永乳業,0,0,0,1,0,0
2267,ヤクルト本社,0,0,0,1,0,0
2269,明治ＨＤ,1,0,0,1,0,0
2282,日ハム,1,0,0,0,0,0
228A,オプロ,0,0,0,0,0,1
2317,システナ,0,0,0,1,0,0
2327,日鉄ソリューションズ,0,0,0,1,0,0
2370,メディネット,0,0,0,0,0,1
2371,カカクコム,0,0,0,1,0,0
2379,ディップ,0,0,0,1,0,0
2384,ＳＢＳホールディングス,0,0,0,1,0,0
2413,エムスリー,1,0,0,1,0,0
241A,ＲＯＸＸ,0,0,0,0,0,1
2432,ディーエヌエ,1,0,0,0,0,0
2438,アスカネット,0,0,0,0,0,1
244A,グロースエクスパートナーズ,0,0,0,0,0,1
245A,ＩＮＧＳ,0,0,0,0,0,1
246A,アスア,0,0,0,0,0,1
247A,Ａｉロボティクス,0,0,0,0,0,1
248A,キッズスター,0,0,0,0,0,1
2497,ユナイテッド,0,0,0,0,0,1
2501,サッポロＨＤ,1,0,0,0,0,0
