code,Sector,Industry,MarketCap
1332,Consumer Defensive,Packaged Foods,346186153984
135A,Technology,Software - Infrastructure,34280550400
1414,Industrials,Engineering & Construction,283505655808
1419,Consumer Cyclical,Residential Construction,102038495232
141A,Consumer Defensive,Discount Stores,366835662848
1431,Real Estate,Real Estate - Diversified,14879605760
1436,Industrials,Engineering & Construction,9852451840
1447,Technology,Information Technology Services,7440521216
147A,Technology,Software - Infrastructure,56109023232
1518,Energy,Thermal Coal,56562425856
151A,Industrials,Conglomerates,5987166720
153A,Technology,Software - Infrastructure,8350126592
156A,Communication Services,Advertising Agencies,7782736384
1605,Energy,Oil & Gas E&P,3709080436736
165A,Financial Services,Asset Management,20530124800
1662,Energy,Oil & Gas E&P,491439357952
166A,Technology,Software - Application,51824136192
1719,Industrials,Engineering & Construction,315647918080
1721,Industrials,Engineering & Construction,558171684864
176A,Utilities,Utilities - Regulated Electric,52903788544
177A,Healthcare,Biotechnology,7202244608
1801,Industrials,Engineering & Construction,2789640241152
1802,Industrials,Engineering & Construction,2444615483392
1803,Industrials,Engineering & Construction,1920744816640
1808,Consumer Cyclical,Residential Construction,859085799424
1812,Industrials,Engineering & Construction,2927545548800
186A,Industrials,Aerospace & Defense,113809596416
1878,Real Estate,Real Estate - Diversified,1004013355008
190A,Healthcare,Biotechnology,8351431680
1911,Consumer Cyclical,Residential Construction,1002934501376
1925,Real Estate,Real Estate - Development,3307320639488
1928,Consumer Cyclical,Residential Construction,2329118244864
192A,Financial Services,Capital Markets,4282139904
1942,Industrials,Engineering & Construction,1149175332864
194A,Healthcare,Medical Care Facilities,14088489984
1951,Industrials,Engineering & Construction,558951497728
1959,Industrials,Engineering & Construction,583705493504
1963,Industrials,Engineering & Construction,507524644864
1969,Industrials,Building Products & Equipment,627497893888
198A,Technology,Software - Application,1718461952
2002,Consumer Defensive,Packaged Foods,550697762816
202A,Technology,Information Technology Services,57539248128
205A,Consumer Cyclical,Residential Construction,7333614080
206A,Healthcare,Biotechnology,6349552128
2124,Industrials,Staffing & Employment Services,168857092096
2127,Financial Services,Capital Markets,237167919104
2154,Industrials,Staffing & Employment Services,161925300224
2158,Technology,Information Technology Services,34440540160
215A,Industrials,Staffing & Employment Services,141564313600
2160,Healthcare,Biotechnology,141267386368
2168,Industrials,Staffing & Employment Services,77077913600
2173,Communication Services,Advertising Agencies,14422536192
2181,Industrials,Staffing & Employment Services,644277141504
218A,Technology,Computer Hardware,27740209152
2195,Industrials,Waste Management,5599238144
219A,Healthcare,Biotechnology,43626651648
2201,Consumer Defensive,Confectioners,229377032192
2222,Consumer Defensive,Confectioners,286627725312
2229,Consumer Defensive,Packaged Foods,362939744256
2264,Consumer Defensive,Packaged Foods,310218194944
2267,Consumer Defensive,Beverages - Non-Alcoholic,734294441984
2269,Consumer Defensive,Packaged Foods,958894637056
2282,Consumer Defensive,Packaged Foods,659437715456
228A,Technology,Software - Infrastructure,5773716992
2317,Technology,Information Technology Services,186234486784
2327,Technology,Information Technology Services,813169377280
2370,Healthcare,Biotechnology,8471332352
2371,Communication Services,Internet Content & Information,461057425408
2379,Communication Services,Internet Content & Information,118236209152
2384,Industrials,Integrated Freight & Logistics,154699153408
2413,Healthcare,Health Information Services,1450120577024
241A,Technology,Software - Application,4662102016
2432,Industrials,Conglomerates,285845749760
2438,Consumer Cyclical,Personal Services,5652463104
244A,Technology,Information Technology Services,5958089216
245A,Consumer Cyclical,Restaurants,7742542336
246A,Industrials,Consulting Services,1575296768
247A,Consumer Defensive,Household & Personal Products,91706089472
248A,Technology,Software - Application,4624200192
2497,Technology,Software - Application,19583000576
2501,Consumer Defensive,Beverages - Brewers,585938632704
2502,Consumer Defensive,Beverages - Brewers,2416656252928
2503,Consumer Defensive,Beverages - Brewers,1919250989056
2531,Consumer Defensive,Beverages - Brewers,321809973248
2587,Consumer Defensive,Beverages - Non-Alcoholic,1494940647424
2670,Consumer Cyclical,Apparel Retail,622136786944
2678,Consumer Cyclical,Internet Retail,126787223552
2685,Consumer Cyclical,Apparel Manufacturing,131742113792
2702,Consumer Cyclical,Restaurants,849606803456
2726,Consumer Cyclical,Apparel Retail,334442725376
2760,Technology,Electronic Components,101054865408
2767,Consumer Cyclical,Gambling,111330983936
2768,Industrials,Conglomerates,1170352111616
2801,Consumer Defensive,Packaged Foods,1296181624832
2802,Consumer Defensive,Packaged Foods,3231057444864
2811,Consumer Defensive,Packaged Foods,246054715392
2871,Consumer Defensive,Packaged Foods,456627027968
2875,Consumer Defensive,Packaged Foods,1059969171456
2897,Consumer Defensive,Packaged Foods,838638043136
2914,Consumer Defensive,Tobacco,10287202697216
2934,Healthcare,Pharmaceutical Retailers,7062892544
2936,Consumer Defensive,Packaged Foods,18153984000
2937,Consumer Defensive,Packaged Foods,15947760640
2978,Real Estate,Real Estate Services,5336981504
2986,Real Estate,Real Estate Services,70719963136
2998,Financial Services,Asset Management,32624850944
3003,Real Estate,Real Estate Services,1366396108800
3038,Consumer Defensive,Grocery Stores,814736539648
3063,Consumer Cyclical,Restaurants,10079635456
3064,Consumer Cyclical,Internet Retail,1157790695424
3086,Consumer Cyclical,Department Stores,569913769984
3088,Healthcare,Pharmaceutical Retailers,1042370461696
3092,Consumer Cyclical,Internet Retail,1145643073536
3099,Consumer Cyclical,Department Stores,894832607232
3107,Technology,Electronics & Computer Distribution,272103145472
3116,Consumer Cyclical,Auto Parts,462639890432
3132,Technology,Electronics & Computer Distribution,452210950144
3133,Consumer Cyclical,Restaurants,26181261312
3140,Consumer Cyclical,"Furnishings, Fixtures & Appliances",14428670976
3141,Healthcare,Pharmaceutical Retailers,657731420160
3148,Healthcare,Pharmaceutical Retailers,216740593664
3186,Consumer Cyclical,Auto & Truck Dealerships,270847541248
3187,Consumer Cyclical,Internet Retail,4942630912
3231,Real Estate,Real Estate Services,874608394240
3288,Real Estate,Real Estate - Diversified,1067266539520
3289,Real Estate,Real Estate - Diversified,1062264963072
3291,Consumer Cyclical,Residential Construction,713484664832
3300,Real Estate,Real Estate Services,16459375616
3349,Healthcare,Pharmaceutical Retailers,582699384832
3360,Healthcare,Medical Instruments & Supplies,246978822144
3382,Consumer Defensive,Grocery Stores,5175059152896
3391,Healthcare,Pharmaceutical Retailers,1143742660608
3401,Industrials,Conglomerates,265043492864
3402,Consumer Cyclical,Textile Manufacturing,1682693029888
3405,Basic Materials,Chemicals,506000605184
3407,Industrials,Conglomerates,1985112047616
3418,Consumer Cyclical,Restaurants,11291543552
3436,Technology,Semiconductor Equipment & Materials,543977668608
3465,Real Estate,Real Estate Services,104763580416
3479,Real Estate,Real Estate Services,74024263680
3491,Communication Services,Internet Content & Information,66068467712
3496,Real Estate,Real Estate Services,62588088320
3542,Consumer Cyclical,Internet Retail,15831994368
3549,Healthcare,Pharmaceutical Retailers,424834793472
3558,Consumer Cyclical,Internet Retail,14338288640
3563,Consumer Cyclical,Restaurants,954962411520
3623,Technology,Software - Infrastructure,6327116288
3626,Technology,Information Technology Services,1156011655168
3635,Communication Services,Electronic Gaming & Multimedia,627415252992
3653,Technology,Software - Application,4412493824
3659,Communication Services,Electronic Gaming & Multimedia,3274731683840
3692,Technology,Software - Application,75852824576
3697,Technology,Software - Application,258203336704
3723,Communication Services,Electronic Gaming & Multimedia,17064263680
3765,Communication Services,Electronic Gaming & Multimedia,141711065088
3769,Technology,Software - Infrastructure,757550546944
3773,Technology,Communication Equipment,16474012672
3774,Communication Services,Telecom Services,479493914624
3777,Technology,Software - Application,18104952832
3793,Communication Services,Electronic Gaming & Multimedia,11981053952
3861,Basic Materials,Paper & Paper Products,816851779584
3900,Industrials,Staffing & Employment Services,12372236288
3904,Communication Services,Electronic Gaming & Multimedia,7981620736
3905,Technology,Software - Application,58369900544
3911,Communication Services,Electronic Gaming & Multimedia,10593681408
3914,Technology,Software - Infrastructure,18084562944
3923,Technology,Information Technology Services,379696087040
3979,Technology,Information Technology Services,11541502976
3989,Communication Services,Internet Content & Information,28478208000
3991,Communication Services,Internet Content & Information,11344531456
4004,Basic Materials,Chemicals,1230686912512
4005,Basic Materials,Chemicals,762042515456
4011,Technology,Software - Application,11644670976
4013,Technology,Software - Application,25757800448
4015,Technology,Software - Application,8350984192
4021,Basic Materials,Chemicals,734286315520
4042,Basic Materials,Chemicals,768377094144
4043,Basic Materials,Specialty Chemicals,306125602816
4051,Technology,Software - Infrastructure,42181996544
4054,Technology,Software - Application,9237495808
4055,Technology,Information Technology Services,12991806464
4056,Technology,Information Technology Services,6996675072
4058,Technology,Software - Application,30351904768
4061,Basic Materials,Chemicals,255198183424
4062,Technology,Electronic Components,2048112590848
4063,Basic Materials,Chemicals,10199985291264
4074,Technology,Software - Application,5054538240
4088,Basic Materials,Specialty Chemicals,534161784832
4091,Basic Materials,Chemicals,2143494340608
4151,Healthcare,Drug Manufacturers - Specialty & Generic,1339349663744
4165,Technology,Software - Application,35006238720
4168,Technology,Software - Application,10644230144
4169,Technology,Software - Application,12231311360
4175,Communication Services,Electronic Gaming & Multimedia,10449704960
4176,Communication Services,Internet Content & Information,7992770560
4182,Basic Materials,Specialty Chemicals,575855132672
4183,Basic Materials,Specialty Chemicals,773235408896
4186,Technology,Electronic Components,760039866368
4188,Basic Materials,Specialty Chemicals,1317662490624
4192,Technology,Software - Application,10791278592
4194,Communication Services,Internet Content & Information,407781244928
4202,Basic Materials,Specialty Chemicals,376008966144
4203,Basic Materials,Specialty Chemicals,463422423040
4204,Industrials,Conglomerates,1131936874496
4208,Basic Materials,Specialty Chemicals,258052685824
4258,Technology,Information Technology Services,27514132480
4259,Technology,Software - Application,52482248704
4263,Healthcare,Health Information Services,15975724032
4264,Industrials,Security & Protection Services,8119611392
4270,Technology,Software - Infrastructure,5554957824
4307,Technology,Information Technology Services,3558560235520
4308,Communication Services,Entertainment,9449208832
4324,Communication Services,Advertising Agencies,919458676736
4371,Technology,Information Technology Services,22018562048
4374,Technology,Software - Infrastructure,10058713088
4375,Technology,Software - Application,49743912960
4376,Industrials,Specialty Business Services,9925060608
4377,Industrials,Staffing & Employment Services,46394798080
4385,Consumer Cyclical,Internet Retail,533938733056
4389,Technology,Software - Application,10852867072
4393,Communication Services,Electronic Gaming & Multimedia,25355669504
4401,Basic Materials,Specialty Chemicals,418561097728
4403,Basic Materials,Specialty Chemicals,698947796992
4413,Technology,Information Technology Services,72296570880
4414,Technology,Software - Infrastructure,11094329344
4417,Technology,Software - Infrastructure,52663955456
4418,Technology,Information Technology Services,17963016192
4419,Technology,Software - Infrastructure,48940343296
4425,Technology,Software - Infrastructure,15662781440
4431,Technology,Software - Application,59227328512
4436,Communication Services,Internet Content & Information,7223734272
4442,Technology,Information Technology Services,8654476288
4448,Technology,Software - Application,17178814464
4452,Consumer Defensive,Household & Personal Products,2837215182848
4475,Technology,Software - Infrastructure,41978880000
4477,Technology,Software - Application,37748170752
4478,Technology,Software - Application,183707287552
4482,Communication Services,Internet Content & Information,15207160832
4488,Technology,Software - Infrastructure,11012110336
4490,Industrials,Consulting Services,4584405504
4493,Technology,Software - Infrastructure,19466614784
4495,Technology,Software - Application,13953189888
4498,Technology,Information Technology Services,21747269632
4502,Healthcare,Drug Manufacturers - Specialty & Generic,7929562923008
4503,Healthcare,Drug Manufacturers - General,4044565250048
4506,Healthcare,Drug Manufacturers - Specialty & Generic,1122541895680
4507,Healthcare,Drug Manufacturers - Specialty & Generic,2464003915776
4516,Healthcare,Drug Manufacturers - Specialty & Generic,383107006464
4519,Healthcare,Drug Manufacturers - General,13884798795776
4523,Healthcare,Drug Manufacturers - Specialty & Generic,1331017154560
4527,Consumer Defensive,Household & Personal Products,585021718528
4528,Healthcare,Drug Manufacturers - General,1062696124416
4543,Healthcare,Medical Instruments & Supplies,3348414070784
4563,Healthcare,Biotechnology,23936792576
4564,Healthcare,Biotechnology,7903802368
4568,Healthcare,Drug Manufacturers - General,6552739119104
4571,Healthcare,Biotechnology,10367068160
4572,Healthcare,Biotechnology,7985629184
4575,Healthcare,Biotechnology,16570269696
4578,Healthcare,Drug Manufacturers - General,4856243290112
4579,Healthcare,Biotechnology,27734796288
4582,Healthcare,Drug Manufacturers - Specialty & Generic,4388783616
4587,Healthcare,Biotechnology,226512093184
4588,Healthcare,Biotechnology,38786732032
4592,Healthcare,Biotechnology,131242745856
4593,Healthcare,Biotechnology,34278907904
4597,Healthcare,Drug Manufacturers - Specialty & Generic,7415296512
4599,Healthcare,Biotechnology,17299978240
4612,Basic Materials,Specialty Chemicals,2480059449344
4613,Basic Materials,Specialty Chemicals,442018660352
4626,Basic Materials,Specialty Chemicals,534148218880
4661,Consumer Cyclical,Leisure,4742298730496
4666,Industrials,Infrastructure Operations,377946636288
4680,Consumer Cyclical,Leisure,308875591680
4681,Consumer Cyclical,Resorts & Casinos,414247911424
4684,Technology,Software - Application,2155717853184
4686,Technology,Software - Infrastructure,328825929728
4689,Consumer Cyclical,Internet Retail,2853326553088
4704,Technology,Software - Infrastructure,857131712512
4716,Technology,Software - Infrastructure,1612168298496
4722,Technology,Information Technology Services,179746177024
4732,Consumer Cyclical,Auto & Truck Dealerships,809635479552
4751,Communication Services,Advertising Agencies,709039620096
4755,Consumer Cyclical,Internet Retail,2186684792832
4768,Technology,Information Technology Services,1231266250752
4772,Communication Services,Entertainment,12168965120
4811,Technology,Software - Infrastructure,14250439680
4812,Technology,Information Technology Services,529126162432
4816,Communication Services,Entertainment,568194367488
4882,Healthcare,Drug Manufacturers - General,3480870144
4888,Healthcare,Biotechnology,8097948160
4890,Healthcare,Medical Devices,8641090560
4891,Healthcare,Biotechnology,6595434496
4893,Healthcare,Biotechnology,6148832768
4894,Healthcare,Biotechnology,63152181248
4896,Healthcare,Biotechnology,8204452352
4901,Industrials,Conglomerates,4020808450048
4902,Industrials,Business Equipment & Supplies,343138926592
4911,Consumer Defensive,Household & Personal Products,986026999808
4912,Consumer Defensive,Household & Personal Products,457998991360
4967,Consumer Defensive,Household & Personal Products,403882803200
4978,Healthcare,Biotechnology,15055015936
4980,Technology,Electronic Components,455440760832
5019,Energy,Oil & Gas Refining & Marketing,1519773679616
