index,code,name
TSE Growth Core,2160,ジーエヌアイグループ
TSE Growth Core,3479,ティーケーピー
TSE Growth Core,4051,ＧＭＯフィナンシャルゲート
TSE Growth Core,4375,セーフィー
TSE Growth Core,4478,フリー
TSE Growth Core,4485,ＪＴＯＷＥＲ
TSE Growth Core,5253,カバー
TSE Growth Core,5842,インテグラル
TSE Growth Core,6027,弁護士ドットコム
TSE Growth Core,7157,ライフネット生命保険
TSE Growth Core,7342,ウェルスナビ
TSE Growth Core,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ
TSE Growth Core,9158,シーユーシー
TSE Growth Core,9164,トライト
TSE Growth Core,9166,ＧＥＮＤＡ
TSE Growth Core,9204,スカイマーク
TSE Growth Core,9348,ｉｓｐａｃｅ
TSE Growth Core,141A,トライアルホールディングス
TSE Growth Core,186A,アストロスケールホールディングス
TSE Growth Core,215A,タイミー
