index,code,name,market,count
JPX-Nikkei 400,1332,ニッスイ,プライム,10
JPX-Nikkei 400,1414,ショーボンドホールディングス,プライム,4
JPX-Nikkei 400,1419,タマホーム,プライム,3
JPX-Nikkei 400,1518,三井松島ホールディングス,プライム,3
JPX-Nikkei 400,1605,ＩＮＰＥＸ,プライム,13
JPX-Nikkei 400,1662,石油資源開発,プライム,2
JPX-Nikkei 400,1719,安藤・間,プライム,12
JPX-Nikkei 400,1721,コムシスホールディングス,プライム,13
JPX-Nikkei 400,1801,大成建設,プライム,13
JPX-Nikkei 400,1802,大林組,プライム,11
JPX-Nikkei 400,1808,長谷工コーポレーション,プライム,13
JPX-Nikkei 400,1812,鹿島建設,プライム,13
JPX-Nikkei 400,1878,大東建託,プライム,13
JPX-Nikkei 400,1911,住友林業,プライム,13
JPX-Nikkei 400,1925,大和ハウス工業,プライム,13
JPX-Nikkei 400,1928,積水ハウス,プライム,13
JPX-Nikkei 400,1942,関電工,プライム,5
JPX-Nikkei 400,1951,エクシオグループ,プライム,13
JPX-Nikkei 400,1959,九電工,プライム,10
JPX-Nikkei 400,1969,高砂熱学工業,プライム,2
JPX-Nikkei 400,2124,ジェイエイシーリクルートメント,プライム,3
JPX-Nikkei 400,2127,日本Ｍ＆Ａセンターホールディングス,プライム,10
JPX-Nikkei 400,2154,オープンアップグループ,プライム,1
JPX-Nikkei 400,2168,パソナグループ,プライム,3
JPX-Nikkei 400,2181,パーソルホールディングス,プライム,12
JPX-Nikkei 400,2201,森永製菓,プライム,8
JPX-Nikkei 400,2222,寿スピリッツ,プライム,3
JPX-Nikkei 400,2229,カルビー,プライム,12
JPX-Nikkei 400,2264,森永乳業,プライム,6
JPX-Nikkei 400,2267,ヤクルト本社,プライム,13
JPX-Nikkei 400,2269,明治ホールディングス,プライム,13
JPX-Nikkei 400,2317,システナ,プライム,6
JPX-Nikkei 400,2327,日鉄ソリューションズ,プライム,9
JPX-Nikkei 400,2371,カカクコム,プライム,13
JPX-Nikkei 400,2379,ディップ,プライム,10
JPX-Nikkei 400,2384,ＳＢＳホールディングス,プライム,4
JPX-Nikkei 400,2413,エムスリー,プライム,13
JPX-Nikkei 400,2502,アサヒグループホールディングス,プライム,13
JPX-Nikkei 400,2503,キリンホールディングス,プライム,13
JPX-Nikkei 400,2531,宝ホールディングス,プライム,4
JPX-Nikkei 400,2587,サントリー食品インターナショナル,プライム,9
JPX-Nikkei 400,2670,エービーシー・マート,プライム,13
JPX-Nikkei 400,2678,アスクル,プライム,3
JPX-Nikkei 400,2685,アダストリア,プライム,5
JPX-Nikkei 400,2702,日本マクドナルドホールディングス,スタンダード,9
JPX-Nikkei 400,2726,パルグループホールディングス,プライム,4
JPX-Nikkei 400,2760,東京エレクトロン　デバイス,プライム,2
JPX-Nikkei 400,2767,円谷フィールズホールディングス,プライム,2
