index,code,name,industry,weight
TOPIX 100,1925,大和ハウス工業,建設業,0.3547%
TOPIX 100,1928,積水ハウス,建設業,0.2271%
TOPIX 100,2502,アサヒグループホールディングス,食料品,0.3399%
TOPIX 100,2503,キリンホールディングス,食料品,0.1964%
TOPIX 100,2802,味の素,食料品,0.4329%
TOPIX 100,2914,日本たばこ産業,食料品,0.6188%
TOPIX 100,3382,セブン＆アイ・ホールディングス,小売業,0.5590%
TOPIX 100,3407,旭化成,化学,0.1678%
TOPIX 100,4063,信越化学工業,化学,0.9377%
TOPIX 100,4188,三菱ケミカルグループ,化学,0.1451%
TOPIX 100,4452,花王,化学,0.3978%
TOPIX 100,4502,武田薬品工業,医薬品,0.8977%
TOPIX 100,4503,アステラス製薬,医薬品,0.3326%
TOPIX 100,4507,塩野義製薬,医薬品,0.2029%
TOPIX 100,4519,中外製薬,医薬品,0.5534%
TOPIX 100,4523,エーザイ,医薬品,0.1339%
TOPIX 100,4543,テルモ,精密機器,0.4075%
TOPIX 100,4568,第一三共,医薬品,0.8205%
TOPIX 100,4578,大塚ホールディングス,医薬品,0.3907%
TOPIX 100,4661,オリエンタルランド,サービス業,0.4521%
TOPIX 100,4689,ＬＩＮＥヤフー,情報・通信業,0.2135%
TOPIX 100,4901,富士フイルムホールディングス,化学,0.4571%
TOPIX 100,4911,資生堂,化学,0.1144%
TOPIX 100,5020,ＥＮＥＯＳホールディングス,石油・石炭製品,0.2886%
TOPIX 100,5108,ブリヂストン,ゴム製品,0.4311%
TOPIX 100,5401,日本製鉄,鉄鋼,0.3653%
TOPIX 100,5802,住友電気工業,非鉄金属,0.3207%
TOPIX 100,6098,リクルートホールディングス,サービス業,1.6484%
TOPIX 100,6146,ディスコ,機械,0.5309%
TOPIX 100,6178,日本郵政,サービス業,0.3428%
TOPIX 100,6273,ＳＭＣ,機械,0.3618%
TOPIX 100,6301,小松製作所,機械,0.5801%
TOPIX 100,6326,クボタ,機械,0.2090%
TOPIX 100,6367,ダイキン工業,機械,0.5868%
TOPIX 100,6501,日立製作所,電気機器,2.8904%
TOPIX 100,6503,三菱電機,電気機器,0.8223%
TOPIX 100,6594,ニデック,電気機器,0.3111%
TOPIX 100,6701,日本電気,電気機器,0.7525%
TOPIX 100,6702,富士通,電気機器,0.7357%
TOPIX 100,6723,ルネサスエレクトロニクス,電気機器,0.4377%
TOPIX 100,6752,パナソニック　ホールディングス,電気機器,0.4117%
