index,code,name,industry,weight
TOPIX Core30,2914,日本たばこ産業,食料品,0.6188%
TOPIX Core30,3382,セブン＆アイ・ホールディングス,小売業,0.5590%
TOPIX Core30,4063,信越化学工業,化学,0.9377%
TOPIX Core30,4502,武田薬品工業,医薬品,0.8977%
TOPIX Core30,4568,第一三共,医薬品,0.8205%
TOPIX Core30,6098,リクルートホールディングス,サービス業,1.6484%
TOPIX Core30,6367,ダイキン工業,機械,0.5868%
TOPIX Core30,6501,日立製作所,電気機器,2.8904%
TOPIX Core30,6503,三菱電機,電気機器,0.8223%
TOPIX Core30,6758,ソニーグループ,電気機器,3.0421%
TOPIX Core30,6861,キーエンス,電気機器,1.3227%
TOPIX Core30,6981,村田製作所,電気機器,0.4784%
TOPIX Core30,7011,三菱重工業,機械,1.5356%
TOPIX Core30,7203,トヨタ自動車,輸送用機器,3.4332%
TOPIX Core30,7267,本田技研工業,輸送用機器,0.8904%
TOPIX Core30,7741,ＨＯＹＡ,精密機器,0.8842%
TOPIX Core30,7974,任天堂,その他製品,1.9189%
TOPIX Core30,8001,伊藤忠商事,卸売業,1.3513%
TOPIX Core30,8031,三井物産,卸売業,1.1293%
TOPIX Core30,8035,東京エレクトロン,電気機器,1.3854%
TOPIX Core30,8058,三菱商事,卸売業,1.3994%
TOPIX Core30,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,3.1936%
TOPIX Core30,8316,三井住友フィナンシャルグループ,銀行業,1.8777%
TOPIX Core30,8411,みずほフィナンシャルグループ,銀行業,1.4127%
TOPIX Core30,8766,東京海上ホールディングス,保険業,1.3790%
TOPIX Core30,9432,ＮＴＴ,情報・通信業,1.0911%
TOPIX Core30,9433,ＫＤＤＩ,情報・通信業,0.8391%
TOPIX Core30,9434,ソフトバンク,情報・通信業,0.8425%
TOPIX Core30,9983,ファーストリテイリング,小売業,0.7931%
TOPIX Core30,9984,ソフトバンクグループ,情報・通信業,1.3994%
