日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250731,極洋,1301,水産・農林業,0.0066%,TOPIX Small 2
20250731,ニッスイ,1332,水産・農林業,0.0297%,TOPIX Mid400
20250731,マルハニチロ,1333,水産・農林業,0.0156%,TOPIX Mid400
20250731,ユキグニファクトリー,1375,水産・農林業,0.0032%,TOPIX Small 2
20250731,カネコ種苗,1376,水産・農林業,0.0013%,TOPIX Small 2
20250731,サカタのタネ,1377,水産・農林業,0.0141%,TOPIX Small 1
20250731,ホクト,1379,水産・農林業,0.0055%,TOPIX Small 2
20250731,ショーボンドホールディングス,1414,建設業,0.0213%,TOPIX Mid400
20250731,ミライト・ワン,1417,建設業,0.0288%,TOPIX Mid400
20250731,タマホーム,1419,建設業,0.0075%,TOPIX Small 1
20250731,ｒｏｂｏｔ　ｈｏｍｅ,1435,不動産業,0.0011%,TOPIX Small 2
20250731,住石ホールディングス,1514,鉱業,0.0026%,TOPIX Small 1
20250731,日鉄鉱業,1515,鉱業,0.0100%,TOPIX Small 1
20250731,三井松島ホールディングス,1518,その他製品,0.0096%,TOPIX Small 1
20250731,ＩＮＰＥＸ,1605,鉱業,0.2422%,TOPIX Mid400
20250731,石油資源開発,1662,鉱業,0.0202%,TOPIX Small 1
20250731,Ｋ＆Ｏエナジーグループ,1663,鉱業,0.0044%,TOPIX Small 1
20250731,リョーサン菱洋ホールディングス,167A,卸売業,0.0108%,TOPIX Small 1
20250731,第一カッター興業,1716,建設業,0.0012%,TOPIX Small 2
20250731,安藤・間,1719,建設業,0.0312%,TOPIX Small 1
20250731,東急建設,1720,建設業,0.0109%,TOPIX Small 1
20250731,コムシスホールディングス,1721,建設業,0.0413%,TOPIX Mid400
20250731,ビーアールホールディングス,1726,建設業,0.0017%,TOPIX Small 2
20250731,高松コンストラクショングループ,1762,建設業,0.0077%,TOPIX Small 2
20250731,東建コーポレーション,1766,建設業,0.0102%,TOPIX Small 1
20250731,ヤマウラ,1780,建設業,0.0023%,TOPIX Small 2
20250731,オリエンタル白石,1786,建設業,0.0048%,TOPIX Small 2
20250731,大成建設,1801,建設業,0.1934%,TOPIX Mid400
20250731,大林組,1802,建設業,0.1728%,TOPIX Mid400
20250731,清水建設,1803,建設業,0.1079%,TOPIX Mid400
20250731,長谷工コーポレーション,1808,建設業,0.0484%,TOPIX Mid400
20250731,松井建設,1810,建設業,0.0028%,TOPIX Small 2
20250731,鹿島建設,1812,建設業,0.1976%,TOPIX Mid400
20250731,不動テトラ,1813,建設業,0.0035%,TOPIX Small 2
20250731,鉄建建設,1815,建設業,0.0046%,TOPIX Small 2
20250731,西松建設,1820,建設業,0.0188%,TOPIX Mid400
20250731,三井住友建設,1821,建設業,0.0113%,TOPIX Small 1
20250731,大豊建設,1822,建設業,0.0027%,TOPIX Small 2
20250731,奥村組,1833,建設業,0.0186%,TOPIX Small 1
20250731,東鉄工業,1835,建設業,0.0108%,TOPIX Small 1
20250731,淺沼組,1852,建設業,0.0076%,TOPIX Small 1
20250731,戸田建設,1860,建設業,0.0279%,TOPIX Mid400
20250731,熊谷組,1861,建設業,0.0175%,TOPIX Small 1
20250731,矢作建設工業,1870,建設業,0.0064%,TOPIX Small 2
20250731,ピーエス・コンストラクション,1871,建設業,0.0031%,TOPIX Small 2
20250731,日本ハウスホールディングス,1873,建設業,0.0015%,TOPIX Small 2
20250731,大東建託,1878,不動産業,0.1246%,TOPIX Mid400
20250731,新日本建設,1879,建設業,0.0058%,TOPIX Small 2
20250731,東亜道路工業,1882,建設業,0.0066%,TOPIX Small 2
20250731,日本道路,1884,建設業,0.0030%,TOPIX Small 1
20250731,東亜建設工業,1885,建設業,0.0134%,TOPIX Small 1
20250731,日本国土開発,1887,建設業,0.0034%,TOPIX Small 2
