Feature,Importance
Sec_Financial Services,0.0006104060080667217
Fin_OperatingIncome,0.0005566660024021175
MACDs_12_26_9,0.00044650255927347615
High,0.000400739257852889
Sec_Industrials,0.000347593145366476
BBU_20_2.0_2.0,0.00023682647497724751
BBL_20_2.0_2.0,0.00022845208815369666
RSI_14,0.00022223365029150344
USD_Index_Close,0.00017430187976730238
is_topix_100,0.0001632493907302024
MarketCap,0.00016048899659537597
News_Count,0.00015268486570119144
MA_25D,0.000113270630581086
is_jpx_nikkei_400,0.00011310451703971935
SP500_Close,0.00010958898783597348
is_growth_core,0.0001079034649404953
Val_PSR,9.60884066956158e-05
USD_JPY,9.258148082658124e-05
Sec_Healthcare,8.4096078829754e-05
Sec_Real Estate,6.240247267319532e-05
VIX_Close,6.079898837341169e-05
Val_PER,5.7840892914828856e-05
MA_75D,4.900892169601434e-05
Val_PBR,4.446121639833933e-05
MACDh_12_26_9,4.042531696679674e-05
Fin_NetIncome,3.5369537487506264e-05
Volume,2.1715664990207273e-05
MACD_12_26_9,1.4341749558388628e-05
Sec_Consumer Defensive,-1.822495197445484e-05
Sec_Energy,-2.839180416724929e-05
Fin_NetAssets,-3.6684220598326434e-05
Fin_FinBERT_Score,-5.913092547360499e-05
BBM_20_2.0_2.0,-6.341792926245482e-05
Fin_OrdinaryIncome,-8.596167741736771e-05
Sec_Communication Services,-0.00011586312815081712
MA_5D,-0.00011633653566711644
Sec_Basic Materials,-0.00012128050102244714
BBB_20_2.0_2.0,-0.0001401050265195103
Fin_NetSales,-0.00014321743638179285
BBP_20_2.0_2.0,-0.00014509383054672753
News_Sentiment,-0.00015438541276746598
Sec_Consumer Cyclical,-0.00019636192173688727
NASDAQ_Close,-0.00020001214233578146
is_growth_250,-0.0002092248817635589
is_nikkei_225,-0.0002149254144530044
Low,-0.00022948796670196892
Market_News_Sentiment,-0.00023142371705775489
is_topix_core30,-0.0002473584573807752
Fin_TotalAssets,-0.0002765391571550868
Open,-0.00029831676031077947
Sec_Utilities,-0.0003820572865951277
Sec_Technology,-0.0004752526246241118
SOX_Close,-0.0006239315418015146
