Feature,Importance
VIX_Close,395.15024472773075
USD_Index_Close,282.55016009509563
SP500_Close,274.57811212167144
NASDAQ_Close,270.934426009655
SOX_Close,248.60882088541985
USD_JPY,190.637502938509
Market_News_Sentiment,65.13707104325294
RSI_14,55.90664145350456
BBP_20_2.0_2.0,20.133642122149467
BBB_20_2.0_2.0,18.040299706161022
MACD_12_26_9,8.483630545437336
MarketCap,6.754746586084366
MACDh_12_26_9,6.134042039513588
MACDs_12_26_9,3.4037929698824883
Close,1.7347425073385239
Fin_FinBERT_Score,1.51637202501297
Fin_OperatingIncome,0.999673992395401
BBU_20_2.0_2.0,0.9851090088486671
MA_75D,0.8182115070521832
MA_25D,0.718982994556427
Fin_OrdinaryIncome,0.6973409950733185
Fin_NetAssets,0.6713259965181351
MA_5D,0.6482440233230591
Volume,0.6322437152266502
Low,0.5315220057964325
Fin_TotalAssets,0.42717599868774414
Val_PER,0.3967396020889282
is_nikkei_225,0.318448007106781
Fin_NetSales,0.29743969440460205
BBM_20_2.0_2.0,0.23565299808979034
Val_PSR,0.146014004945755
Val_PBR,0.05768730118870735
BBL_20_2.0_2.0,0.05656849965453148
Open,0.0
High,0.0
is_growth_250,0.0
is_topix_100,0.0
is_jpx_nikkei_400,0.0
is_growth_core,0.0
is_topix_core30,0.0
News_Sentiment,0.0
Fin_NetIncome,0.0
News_Count,0.0
