Feature,Importance
VIX_Close,1.510601410625867e-07
USD_Index_Close,1.1490275042547182e-07
Fin_TotalAssets,1.1437661218138828e-07
USD_JPY,5.37927655752668e-08
RSI_14,2.8840171362176648e-08
MACD_12_26_9,2.0266066380614234e-08
BBP_20_2.0_2.0,1.8551245428710672e-08
is_nikkei_225,1.8551245428710672e-08
BBM_20_2.0_2.0,1.4498032108178904e-08
Sec_Real Estate,1.3718568059317704e-08
Low,1.325088949677422e-08
is_topix_core30,1.2939103788411899e-08
is_jpx_nikkei_400,1.1536068544870659e-08
MA_25D,9.509461884604775e-09
MACDh_12_26_9,8.418212127381253e-09
Sec_Technology,7.015176883840013e-09
MACDs_12_26_9,6.859284029658852e-09
Open,6.859284029658852e-09
is_topix_100,6.235712612934208e-09
Sec_Consumer Defensive,6.235712612934208e-09
BBU_20_2.0_2.0,3.897320466350607e-09
Val_PSR,2.9619635633082453e-09
Sec_Industrials,2.8060707091270842e-09
Sec_Financial Services,2.650177854945923e-09
Sec_Healthcare,2.338392146583601e-09
is_growth_core,1.2471426114046835e-09
Sec_Consumer Cyclical,1.0912497572235225e-09
Sec_Communication Services,7.794640488612004e-10
is_growth_250,6.235711946800393e-10
MarketCap,4.676783404988782e-10
Sec_Basic Materials,1.5589285418116106e-10
Sec_Energy,1.5589285418116106e-10
Sec_Utilities,-3.117857083623221e-10
MA_5D,-1.2471426114046835e-09
Val_PER,-1.4030354655858446e-09
High,-4.520891661030646e-09
BBL_20_2.0_2.0,-7.638748078520052e-09
News_Sentiment,-9.197676398287058e-09
MA_75D,-2.494285089582604e-08
Val_PBR,-2.5722315166731846e-08
SP500_Close,-2.6345886361411885e-08
Volume,-2.915195707053897e-08
SOX_Close,-3.2328273169568433e-08
BBB_20_2.0_2.0,-6.282480580210859e-08
NASDAQ_Close,-7.675772639714751e-08
News_Count,-1.3007307031465132e-07
Fin_NetAssets,-1.4929660352436258e-07
Fin_OperatingIncome,-1.5781224882438494e-07
Fin_OrdinaryIncome,-2.1870788091682414e-07
Fin_FinBERT_Score,-2.4205283044587134e-07
Fin_NetSales,-2.936728400459998e-07
Fin_NetIncome,-3.694562362710485e-07
Market_News_Sentiment,-3.9451600675199927e-07
