Feature,Importance
USD_Index_Close,9.886085154342961e-06
SP500_Close,9.829273830275556e-06
VIX_Close,7.209562269105182e-06
NASDAQ_Close,5.190386495872168e-06
MACDh_12_26_9,3.469219559923062e-06
USD_JPY,3.1447140815842912e-06
BBP_20_2.0_2.0,2.9525195880597196e-06
RSI_14,2.535536099707719e-06
Val_PBR,2.484953295078373e-06
MACDs_12_26_9,2.1220215310428087e-06
MACD_12_26_9,1.7131827573751805e-06
BBM_20_2.0_2.0,9.631033580327283e-07
Sec_Consumer Cyclical,8.717892919091197e-07
is_topix_core30,8.294079490811339e-07
Sec_Industrials,7.439039732830451e-07
Sec_Financial Services,7.084328764962386e-07
Fin_OrdinaryIncome,6.221488657097256e-07
Sec_Communication Services,5.89223358586459e-07
Sec_Healthcare,5.577496794543536e-07
BBL_20_2.0_2.0,5.476429455609881e-07
Fin_NetIncome,5.408613034836585e-07
is_jpx_nikkei_400,5.144880522037557e-07
Sec_Energy,4.367351769474573e-07
High,3.752912176619057e-07
is_topix_100,3.642434559525398e-07
is_nikkei_225,3.3276460069137787e-07
Sec_Consumer Defensive,3.068164009241252e-07
MA_5D,2.8482139335884657e-07
MarketCap,2.816003188944004e-07
Sec_Real Estate,2.6858380139729854e-07
Fin_NetAssets,2.679806301603832e-07
News_Sentiment,2.1979867388969773e-07
Sec_Technology,1.8594683002170695e-07
is_growth_core,1.1473650536738753e-07
Sec_Utilities,1.0458744900947864e-07
is_growth_250,6.006223739109945e-08
Fin_NetSales,-8.145955432718385e-08
MA_75D,-1.1651035707310048e-07
Val_PER,-1.6416225492562123e-07
Sec_Basic Materials,-1.881556287806202e-07
Low,-2.2334462655140483e-07
News_Count,-2.3332507812770173e-07
MA_25D,-3.0566014510863965e-07
Fin_TotalAssets,-3.854384471508633e-07
Open,-3.974638501749207e-07
BBU_20_2.0_2.0,-4.4875616503825197e-07
Val_PSR,-6.406703864161867e-07
Volume,-9.048096820392197e-07
Fin_FinBERT_Score,-1.2702317348928238e-06
SOX_Close,-1.753936093536624e-06
Fin_OperatingIncome,-1.7611234527635002e-06
Market_News_Sentiment,-2.909804346868782e-06
BBB_20_2.0_2.0,-3.4895603757004526e-06
