Feature,Importance
SP500_Close,0.015144759622186518
SOX_Close,0.011537746420262745
Fin_NetIncome,0.0034013919590530446
NASDAQ_Close,0.0033728493357154214
Fin_OrdinaryIncome,0.0028800175898932344
VIX_Close,0.002767358453008217
Open,0.0018134175309800686
BBU_20_2.0_2.0,0.001521230351010406
USD_JPY,0.0014218909411951675
High,0.001341899489367632
BBP_20_2.0_2.0,0.001224108786250247
BBM_20_2.0_2.0,0.0011438515755315451
MA_5D,0.00098995080252532
RSI_14,0.000976061645635261
Low,0.0009738868726019388
BBL_20_2.0_2.0,0.0007109268653757011
is_jpx_nikkei_400,0.0006381010569043136
MarketCap,0.0005644975806946923
Fin_FinBERT_Score,0.0005628000268748157
Val_PSR,0.0005516991023521055
MACDs_12_26_9,0.0005247574813146556
MACD_12_26_9,0.0004964079798543902
News_Count,0.0004201040820052953
Fin_OperatingIncome,0.0004140647805803975
Market_News_Sentiment,0.00038426831653388396
Fin_NetAssets,0.0003524951906530011
is_topix_100,0.00032267577409996487
is_nikkei_225,0.00031858635649394855
Close,0.00030175473827072954
News_Sentiment,0.00024751125920224746
is_growth_core,0.00023802278325134028
is_topix_core30,0.00020827388257973456
Val_PBR,0.0001851121766601218
Volume,0.0001368717577615683
USD_Index_Close,0.00010032006281269999
MA_75D,9.741368360905276e-05
Val_PER,8.820689684494807e-05
is_growth_250,5.207520262393276e-05
MA_25D,4.831944102434382e-05
Fin_TotalAssets,3.598431581054803e-05
MACDh_12_26_9,2.6355754853980186e-05
BBB_20_2.0_2.0,2.0103289568578473e-05
Fin_NetSales,7.272383495865405e-06
