Feature,Importance
VIX_Close,0.03900844171965989
USD_JPY,0.0034027777255969394
Market_News_Sentiment,0.0016375194533191362
USD_Index_Close,0.0006505710522299868
MACDs_12_26_9,0.000634973927035265
Fin_NetSales,0.0002440722659990957
Val_PSR,0.00020654762721705744
News_Count,0.00019435728624195292
Open,0.00019285379744182762
MACDh_12_26_9,0.00016869669502295181
is_nikkei_225,0.0001582506193060773
MA_5D,0.00015436174628868926
Fin_OperatingIncome,0.00012763333798027077
SOX_Close,9.448343167073325e-05
Fin_TotalAssets,9.243728971308762e-05
BBP_20_2.0_2.0,9.158045406665316e-05
Val_PER,6.468932288572482e-05
Fin_FinBERT_Score,5.739976495533483e-05
Sec_Consumer Defensive,5.566239795440353e-05
High,3.862529079623478e-05
Val_PBR,3.179002402498021e-05
Sec_Real Estate,2.302375188589778e-05
Sec_Industrials,2.2563205527070807e-05
BBL_20_2.0_2.0,1.7687618659278925e-05
Fin_OrdinaryIncome,1.2795770221840641e-05
Sec_Consumer Cyclical,1.0871107742893571e-05
News_Sentiment,4.7757277743532e-06
Sec_Technology,-7.973264858796014e-06
Sec_Utilities,-8.530036059495316e-06
NASDAQ_Close,-1.449868490999151e-05
Sec_Basic Materials,-1.6689095927890918e-05
MA_75D,-4.4575008412595096e-05
is_jpx_nikkei_400,-5.448813530017915e-05
is_growth_core,-5.461330748990356e-05
BBM_20_2.0_2.0,-7.070987430179976e-05
MA_25D,-7.410363172777323e-05
Low,-8.486008030272885e-05
MarketCap,-8.718902157633934e-05
SP500_Close,-8.779445082307546e-05
Sec_Financial Services,-8.868383883853248e-05
is_topix_core30,-9.313364344620823e-05
is_topix_100,-9.649759611418673e-05
MACD_12_26_9,-0.00011195394035068418
Sec_Communication Services,-0.00011562799306430449
is_growth_250,-0.00011963020990379825
Sec_Energy,-0.00014452121673835805
RSI_14,-0.00016061146989088115
Fin_NetIncome,-0.0001949123036486533
Fin_NetAssets,-0.0002995395543481383
BBB_20_2.0_2.0,-0.00030957913954110516
BBU_20_2.0_2.0,-0.00032577452291326914
Sec_Healthcare,-0.00048197450859976954
Volume,-0.0015419776847911404
